date,open,high,low,close,volume
2021-04-01,240.0,240.0,240.0,240.0,4
2021-04-05,240.0,240.0,240.0,240.0,0
2021-04-06,250.0,250.0,248.75,248.75,488
2021-04-07,248.75,248.75,248.75,248.75,4
2021-04-08,248.75,248.75,248.75,248.75,0
2021-04-09,249.75,249.75,248.75,248.75,300
2021-04-12,248.75,250.25,248.5,248.5,112
2021-04-13,247.5,249.25,245.25,248.25,232
2021-04-14,251.0,254.27499389648438,250.0,251.0,928
2021-04-15,251.0,251.0,251.0,251.0,0
2021-04-16,251.0,251.0,251.0,251.0,0
2021-04-19,251.0,251.0,251.0,251.0,0
2021-04-20,253.5,253.5,241.5,242.25,76
2021-04-21,243.5,243.5,243.0,243.5,44
2021-04-22,243.75,243.75,243.75,243.75,8
2021-04-23,243.25,243.25,243.25,243.25,8
2021-04-26,243.25,243.25,243.25,243.25,0
2021-04-27,242.75,246.25,242.75,246.25,44
2021-04-28,246.25,246.25,246.25,246.25,0
2021-04-29,243.0,245.0,243.0,245.0,3500
2021-04-30,244.0,244.25,244.0,244.25,48
2021-05-03,244.25,244.25,242.75,243.75,56
2021-05-04,242.75,246.25,242.75,243.25,172
2021-05-05,243.0,246.0,242.5,244.75,1132
2021-05-06,244.75,244.75,243.875,243.875,32
2021-05-07,243.25,243.25,243.0,243.0,3208
2021-05-10,242.75,244.75,242.75,244.75,8
2021-05-11,242.5,242.5,242.5,242.5,16
2021-05-12,247.25,247.25,245.0,247.0,115712
2021-05-13,248.5,248.5,246.25,246.5,29268
2021-05-14,246.25,247.5,245.25,246.25,5440
2021-05-17,246.25,247.5,245.25,245.75,6108
2021-05-18,246.25,246.75,242.75,244.75,15916
2021-05-19,245.25,245.75,244.25,245.0,15856
2021-05-20,248.75,248.75,244.5,246.0,10176
2021-05-21,246.375,247.0,244.5,246.5,16516
2021-05-24,247.5,247.5,246.25,246.25,216
2021-05-25,247.25,247.25,246.25,246.25,828
2021-05-26,247.0,247.25,245.25,246.25,4720
2021-05-27,246.25,246.875,246.0,246.5,2168
2021-05-28,246.25,247.75,246.25,246.5,48
2021-06-01,247.75,248.75,246.625,248.25,1288
2021-06-02,248.25,248.25,246.25,247.75,13776
2021-06-03,247.75,248.25,247.375,248.0,320
2021-06-04,248.25,248.25,247.5,248.0,1964
2021-06-07,248.25,248.25,247.5,248.0,1412
2021-06-08,248.0,248.0,247.75,247.75,12648
2021-06-09,247.75,248.25,247.75,248.0,5800
2021-06-10,248.25,248.5,247.75,248.25,4200
2021-06-11,248.25,248.75,248.0,248.75,3776
2021-06-14,247.75,248.5,247.75,248.25,544
2021-06-15,248.25,248.25,247.5,247.5,908
2021-06-16,248.0,248.0,247.75,247.75,152
2021-06-17,248.25,248.25,247.5,247.5,660
2021-06-18,247.5,247.75,246.75,247.75,1092
2021-06-21,247.75,248.0,247.25,247.625,748
2021-06-22,247.64999389648438,248.25,247.25,248.25,492
2021-06-23,247.5,248.25,247.5,248.25,444
2021-06-24,248.25,248.75,247.97500610351562,248.25,1700
2021-06-25,248.75,249.0,248.25,248.5,1296
2021-06-28,248.25,248.25,248.0,248.25,684
2021-06-29,248.25,248.25,247.5,247.5,1684
2021-06-30,247.75,248.0,247.25,247.5,1464
2021-07-01,247.75,248.0,247.0,247.85000610351562,2040
2021-07-02,248.25,248.75,248.0,248.25,288
2021-07-06,247.5,248.0,246.75,247.375,1152
2021-07-07,247.5,248.0,247.5,247.75,528
2021-07-08,247.5,247.75,247.25,247.625,980
2021-07-09,247.75,247.75,246.75,247.5,436
2021-07-12,248.22500610351562,248.25,247.5,247.9499969482422,124
2021-07-13,248.0,248.0,247.25,247.5,2868
2021-07-14,248.0,248.0,247.5,247.5,116
2021-07-15,247.5,250.0,247.25,248.5,1528
2021-07-16,248.0,248.75,248.0,248.0,416
2021-07-19,248.5,248.75,247.5,247.75,2904
2021-07-20,248.75,248.75,247.5,247.5,332
2021-07-21,248.0,248.75,247.5,247.77499389648438,540
2021-07-22,248.5,248.75,248.0,248.0,26136
2021-07-23,248.0,248.75,248.0,248.75,940
2021-07-26,248.75,248.75,247.5,248.25,9292
2021-07-27,248.75,248.75,248.0,248.0,24348
2021-07-28,248.5,248.5,246.75,247.625,2956
2021-07-29,247.6750030517578,247.75,247.5,247.5,6232
2021-07-30,247.25,247.27499389648438,247.25,247.25,436
2021-08-02,248.5,248.5,248.0,248.25,20180
2021-08-03,248.75,248.875,248.5,248.75,16172
2021-08-04,248.5,248.75,248.5,248.5,1952
2021-08-05,248.75,249.0,248.5,248.75,19432
2021-08-06,248.75,249.0,248.5,248.75,15044
2021-08-09,249.0,249.25,248.75,249.25,17736
2021-08-10,249.25,249.25,248.75,249.25,11604
2021-08-11,249.25,249.25,249.0,249.0,17404
2021-08-12,249.25,249.25,249.0,249.25,63492
2021-08-13,249.0,249.25,249.0,249.25,21532
2021-08-16,249.0,249.25,249.0,249.25,79780
2021-08-17,249.0,249.25,248.75,249.0,50288
2021-08-18,249.0,249.1999969482422,246.5,248.0,33400
2021-08-19,248.25,248.5,248.0,248.25,1988
2021-08-20,248.25,248.375,247.0,247.5,12624
2021-08-23,248.25,248.75,247.75,248.5,15896
2021-08-24,248.5,248.75,247.25,247.5,21712
2021-08-25,248.0,249.0,246.75,249.0,38884
2021-08-26,249.75,249.75,246.25,249.0,15888
2021-08-27,250.0,251.1750030517578,248.75,250.0,6288
2021-08-30,257.0,257.0,246.75,249.75,12988
2021-08-31,251.25,254.25,248.5,248.75,97748
2021-09-01,247.75,248.5,210.75,212.5,17212
2021-09-02,217.5,224.0,207.75,209.75,6016
2021-09-03,210.5,210.5,200.0,208.75,5960
2021-09-07,231.25,650.0,222.0,282.5,141312
2021-09-08,350.25,475.0,325.25,350.25,597476
2021-09-09,318.8500061035156,381.57501220703125,306.0,355.0,69728
2021-09-10,364.25,387.5,356.0,380.25,40364
2021-09-13,369.75,405.5,366.75,374.5,24768
2021-09-14,374.75,386.3999938964844,313.75,314.75,33712
2021-09-15,340.0,364.57501220703125,325.0,354.75,34176
2021-09-16,354.5,570.75,347.75,448.75,150692
2021-09-17,428.75,524.75,426.25,456.5,76084
2021-09-20,430.0,662.0,427.5,623.5,141532
2021-09-21,615.0,825.0,592.0,789.25,211184
2021-09-22,751.75,972.0,713.75,890.0,186416
2021-09-23,917.75,1038.0,652.5,700.0,108772
2021-09-24,664.75,773.5,542.125,606.0,69532
2021-09-27,638.4500122070312,640.5,484.5,516.25,52312
2021-09-28,514.75,536.75,475.29998779296875,476.75,38568
2021-09-29,489.75,590.0,486.25,528.5,68412
2021-09-30,527.5,555.0,468.75,501.75,19252
2021-10-01,503.75,518.25,438.75,457.5,27772
2021-10-04,465.75,562.25,462.5,519.0,43740
2021-10-05,521.5,575.0,514.5,534.0,32444
2021-10-06,532.0,548.75,462.5,462.5,21412
2021-10-07,489.25,547.5,469.5249938964844,471.5,35252
2021-10-08,465.25,476.70001220703125,413.75,442.0,49292
