date,open,high,low,close,volume
2021-04-30,488.0,522.5,488.0,517.5,38
2021-05-03,517.5,517.5,481.0,500.0,18
2021-05-04,500.0,500.0,500.0,500.0,2
2021-05-05,535.0,535.0,525.0,525.0,14
2021-05-06,525.0,525.0,525.0,525.0,0
2021-05-07,525.0,525.0,525.0,525.0,0
2021-05-10,525.0,525.0,525.0,525.0,32
2021-05-11,545.0,545.0,491.5,495.0,5168
2021-05-12,499.5,555.5,482.5,491.0,56894
2021-05-13,492.0,497.5,491.95001220703125,492.5,18632
2021-05-14,497.5,497.5,490.5,494.0,18262
2021-05-17,515.0,515.0,492.5,493.5,10376
2021-05-18,493.5,495.0,491.5,493.5,946
2021-05-19,514.5,514.5,493.0,497.5,1248
2021-05-20,495.5,497.5,493.75,495.5,5630
2021-05-21,500.0,500.0,495.0,497.0,364
2021-05-24,503.5,503.5,495.0,497.0,252
2021-05-25,497.5,497.5,492.5,495.0,264
2021-05-26,495.6499938964844,499.5,493.5,494.0,232
2021-05-27,494.0,497.5,494.0,497.0,1576
2021-05-28,497.5,497.5,492.5,493.0,452
2021-06-01,500.0,500.0,492.5,494.0,526
2021-06-02,495.04998779296875,496.5,495.0,496.0,340
2021-06-03,496.5,496.5,494.5,495.0,490
2021-06-04,495.0,496.0,491.75,494.0,5014
2021-06-07,494.0,494.5,494.0,494.0,542
2021-06-08,494.5,496.0,494.0,496.0,1352
2021-06-09,495.5,497.5,494.5,494.5,1122
2021-06-10,495.5,495.5,494.5,495.0,78
2021-06-11,495.0,501.0,494.5,500.0,5050
2021-06-14,497.5,502.5,495.0,497.5,588
2021-06-15,502.0,502.0,495.0,495.0,68
2021-06-16,496.04998779296875,496.04998779296875,496.0,496.0,18
2021-06-17,495.5,497.5,495.0,495.0,362
2021-06-18,495.95001220703125,495.95001220703125,494.5,494.5,828
2021-06-21,495.0,495.0,494.0,494.5,1054
2021-06-22,494.5,496.5,494.0,496.5,248
2021-06-23,494.0,496.0,494.0,496.0,112
2021-06-24,495.0,495.0,494.5,494.75,66
2021-06-25,495.0,500.0,494.5,498.5,2610
2021-06-28,495.5,500.0,495.5,496.0,288
2021-06-29,497.0,497.0,494.0,494.0,2274
2021-06-30,494.5,495.5,494.0,495.5,212
2021-07-01,495.5,496.5,494.0,496.5,932
2021-07-02,496.5,496.5,496.0,496.04998779296875,80
2021-07-06,496.5,496.5,496.29998779296875,496.5,206
2021-07-07,496.0,497.0,496.0,496.0,130
2021-07-08,496.0,496.0,493.0,495.0,1058
2021-07-09,496.0,496.0,495.0,496.0,42
2021-07-12,497.0,497.0,495.0,497.0,354
2021-07-13,497.0,497.0,496.3999938964844,496.5,64
2021-07-14,497.5,497.5,496.0,496.0,82
2021-07-15,497.5,497.5,495.0,497.5,364
2021-07-16,497.5,497.5,495.5,495.5,262
2021-07-19,497.0,497.3999938964844,495.0,497.3999938964844,876
2021-07-20,497.5,497.5,496.5,497.5,234
2021-07-21,495.0,496.25,495.0,496.25,48
2021-07-22,495.5,497.5,495.0,495.0,12068
2021-07-23,496.1000061035156,497.5,494.5,497.5,170
2021-07-26,497.5,497.5,495.75,496.0,50
2021-07-27,495.0,497.5,494.5,497.5,2324
2021-07-28,496.54998779296875,496.6499938964844,495.54998779296875,496.0,2346
2021-07-29,497.5,497.5,495.0,497.5,2074
2021-07-30,496.45001220703125,497.0,495.29998779296875,495.5,950
2021-08-02,497.5,497.5,495.45001220703125,497.0,90
2021-08-03,496.0,497.0,496.0,497.0,24
2021-08-04,497.0,497.0,496.0,496.0,170
2021-08-05,497.5,497.5,495.5,497.0,42
2021-08-06,497.5,497.5,495.29998779296875,496.6000061035156,24
2021-08-09,497.5,497.5,495.0,496.0,154
2021-08-10,496.04998779296875,497.1499938964844,496.0,496.0,40
2021-08-11,496.5,496.6499938964844,495.45001220703125,496.5,52
2021-08-12,497.5,497.5,495.3999938964844,496.0,44
2021-08-13,497.5,497.5,495.04998779296875,497.0,312
2021-08-16,497.0,497.0,495.0,495.5,4296
2021-08-17,496.0,496.0,495.0,496.0,2176
2021-08-18,495.0,496.0,495.0,495.0,3156
2021-08-19,495.5,496.0,494.0,495.5,2022
2021-08-20,495.5,496.1000061035156,493.3999938964844,495.0,12868
2021-08-23,497.0,497.5,495.25,497.5,182
2021-08-24,497.5,497.5,495.25,496.0,124
2021-08-25,495.3999938964844,497.20001220703125,495.3999938964844,495.45001220703125,40
2021-08-26,496.95001220703125,497.5,494.6499938964844,494.6499938964844,36
2021-08-27,495.25,497.5,494.5,497.5,122
2021-08-30,495.5,497.5,494.5,496.3999938964844,30
2021-08-31,497.5,498.5,496.29998779296875,498.0,358
2021-09-01,496.0,497.5,495.0,496.5,704
2021-09-02,497.0,497.3999938964844,496.25,496.5,44
2021-09-03,497.5,497.5,495.70001220703125,497.0,20
2021-09-07,498.5,499.5,496.75,499.5,444
2021-09-08,499.5,500.5,499.0,500.0,10612
2021-09-09,499.5,500.0,499.0,499.5,2454
2021-09-10,525.0,527.5,499.0,499.5,3194
2021-09-13,500.0,500.3500061035156,498.0,498.0,13328
2021-09-14,499.0,500.29998779296875,497.25,497.5,854
2021-09-15,498.5,499.0,498.25,499.0,42
2021-09-16,500.0,500.5,496.0,499.0,814
2021-09-17,500.0,500.0,496.0,496.5,208
2021-09-20,496.5,498.0,496.0,496.6000061035156,286
2021-09-21,497.0,500.1499938964844,496.0,497.75,320
2021-09-22,500.29998779296875,500.29998779296875,497.5,499.0,288
2021-09-23,512.0,512.0,497.6000061035156,500.0,94
2021-09-24,500.5,500.5,496.0,498.25,592
2021-09-27,497.0,499.0,497.0,498.0,148
2021-09-28,498.0,498.5,496.5,496.5,94
2021-09-29,497.5,498.5,496.5,497.25,456
2021-09-30,512.0,512.0,495.0,496.5,10240
2021-10-01,498.5,498.5,495.5,496.0,296
2021-10-04,496.0,498.5,495.5,498.5,466
2021-10-05,496.5,497.75,496.5,497.0,40
2021-10-06,497.5,497.79998779296875,495.5,495.5,2682
2021-10-07,495.5,498.0,495.5,496.0,300
2021-10-08,498.5,498.5,496.0,497.0,166
2021-10-11,498.5,498.5,496.5,497.75,56
2021-10-12,498.5,499.5,497.0,499.0,1424
2021-10-13,499.5,499.5,496.8999938964844,497.70001220703125,66
2021-10-14,499.5,499.5,499.1499938964844,499.1499938964844,68
2021-10-15,499.5,499.5,497.5,499.20001220703125,208
2021-10-18,499.5,499.5,498.5,499.0,72
2021-10-19,499.45001220703125,500.0,498.5,499.0,1102
2021-10-20,499.5,499.5,497.70001220703125,497.70001220703125,94
2021-10-21,499.1499938964844,499.5,498.5,499.5,54
2021-10-22,498.5,499.25,497.5,499.0,62
2021-10-25,499.5,500.0,497.70001220703125,498.54998779296875,1166
2021-10-26,499.5,499.5,498.5,499.0,226
2021-10-27,498.5,499.75,498.5,498.5,346
2021-10-28,499.0,499.5,497.5,497.5,218
2021-10-29,499.5,499.5,498.0,499.1499938964844,728
2021-11-01,499.5,499.5,498.0,498.0,3402
2021-11-02,496.5,498.95001220703125,496.5,498.0,182
2021-11-03,497.5,499.5,497.5,499.5,242
2021-11-04,499.5,500.0,495.5,500.0,1552
2021-11-05,498.5,500.0,497.5,500.0,27794
2021-11-08,498.5,500.0,498.0,499.5,762
2021-11-09,498.5,499.5,496.5,498.0,3236
2021-11-10,498.5,498.5,497.0,498.0,2172
2021-11-11,497.5,498.5,497.0,497.0,528
2021-11-12,497.0,499.0,497.0,497.5,13404
2021-11-15,499.0,500.0,497.5,497.5,1136
2021-11-16,498.0,500.0,497.5,498.54998779296875,906
2021-11-17,500.0,500.0,497.0,498.0,2314
2021-11-18,497.5,497.5,497.0,497.0,2946
2021-11-19,497.0,498.8999938964844,497.0,498.0,676
2021-11-22,497.6000061035156,497.6000061035156,496.5,496.5,9586
2021-11-23,496.5,497.20001220703125,496.0,497.0,6890
2021-11-24,497.5,497.5,496.5,497.5,1122
2021-11-26,497.5,498.0,497.0,497.0,2354
2021-11-29,496.5,498.5,496.5,497.0,268
2021-11-30,497.0,500.0,497.0,500.0,982
2021-12-01,499.5,500.0,498.29998779296875,499.5,290
2021-12-02,500.0,500.0,497.0,497.0,1836
2021-12-03,497.0,497.5,497.0,497.0,678
2021-12-06,497.0,498.0,496.0,496.95001220703125,3386
2021-12-07,495.0,497.5,494.0,495.0,10968
2021-12-08,495.0,496.5,494.75,495.5,1300
2021-12-09,495.0,500.0,495.0,495.0,4060
2021-12-10,496.0,496.5,496.0,496.25,922
2021-12-13,493.5,499.5,493.5,496.5,600
2021-12-14,496.5,497.5,496.0,496.25,946
2021-12-15,494.5,496.0,492.5,493.5,778
2021-12-16,495.0,495.0,494.5,494.5,352
2021-12-17,493.5,494.95001220703125,493.5,494.54998779296875,278
2021-12-20,494.5,494.95001220703125,494.5,494.5,36
2021-12-21,494.5,494.75,494.5,494.5,56
2021-12-22,494.75,494.75,494.5,494.5,70
2021-12-23,495.0,495.0,494.5,494.5,30
2021-12-27,495.0,495.0,494.5,495.0,272
2021-12-28,494.5,495.0,494.5,495.0,264
2021-12-29,494.5,494.70001220703125,494.0,494.0,1694
2021-12-30,494.0,494.0,494.0,494.0,24
2021-12-31,494.0,495.0,494.0,495.0,1098
2022-01-03,494.0,499.0,494.0,498.5,1714
2022-01-04,494.5,497.5,494.5,496.5,16
2022-01-05,495.0,496.5,494.0,495.75,9632
2022-01-06,495.5,497.0,495.0,495.0,1618
2022-01-07,493.5,497.5,493.5,496.5,72
2022-01-10,493.5,496.5,492.0,492.5,33128
2022-01-11,494.0,494.5,493.70001220703125,494.0,58
2022-01-12,496.45001220703125,496.45001220703125,493.5,495.0,3276
2022-01-13,494.0,494.0,494.0,494.0,6
2022-01-14,495.0,496.0,494.0,496.0,1564
2022-01-18,495.0,495.5,495.0,495.0,82
2022-01-19,495.0,495.5,495.0,495.04998779296875,268
2022-01-20,495.04998779296875,495.25,495.0,495.25,16
2022-01-21,495.0,495.25,492.5,493.25,508
2022-01-24,493.0,494.25,492.0,494.25,194
2022-01-25,492.5,495.0,492.5,494.25,170
2022-01-26,495.5,496.5,493.8500061035156,494.5,92
2022-01-27,492.5,495.0,492.5,495.0,266
2022-01-28,492.5,495.0,492.5,495.0,2272
2022-01-31,494.5,495.0,494.5,495.0,136
2022-02-01,490.5,496.5,490.5,495.5,740
2022-02-02,495.5,495.5,495.5,495.5,210
2022-02-03,492.5,495.5,492.5,495.0,224
2022-02-04,495.0,495.25,495.0,495.0,120
2022-02-07,493.0,495.45001220703125,493.0,495.0,284
2022-02-08,494.5,495.0,493.5,494.0,558
2022-02-09,494.0,495.0,494.0,494.75,32
2022-02-10,495.5,495.5,492.5,492.5,548
2022-02-11,493.0,493.5,493.0,493.5,280
2022-02-14,493.0,494.5,492.5,494.5,324
2022-02-15,493.29998779296875,493.5,493.0,493.5,60
2022-02-16,493.0,493.5,493.0,493.0,106
2022-02-17,493.0,494.5,493.0,494.0,458
2022-02-18,490.5,495.0,490.5,494.25,298
2022-02-22,491.0,495.0,490.5,494.5,860
2022-02-23,494.5,494.5,493.0,493.29998779296875,236
2022-02-24,494.0,494.3999938964844,491.0,494.0,234
2022-02-25,493.5,494.04998779296875,492.5,492.5,10452
2022-02-28,492.5,495.0,492.0,495.0,7216
2022-03-01,493.0,494.0,493.0,493.0,510
2022-03-02,492.5,493.5,491.3999938964844,492.0,6076
2022-03-03,492.5,493.0,492.5,492.5,232
2022-03-04,492.5,492.5,491.5,491.5,226
2022-03-07,492.0,492.0,491.75,491.75,254
2022-03-08,491.5,491.5,490.0,490.6499938964844,1000
2022-03-09,490.5,490.5,490.0,490.5,168
2022-03-10,490.0,490.5,490.0,490.0,132
2022-03-11,490.04998779296875,491.0,490.0,490.75,22
2022-03-14,491.0,491.5,490.5,491.0,908
2022-03-15,490.75,492.5,490.0,490.0,112
2022-03-16,490.0,490.0,489.5,490.0,218
2022-03-17,489.6000061035156,490.5,489.5,490.5,32
2022-03-18,490.5,491.5,490.5,490.5,30
2022-03-21,490.0,490.5,490.0,490.5,90
2022-03-22,490.5,490.5,490.5,490.5,42
2022-03-23,492.5,492.5,491.25,491.25,8
2022-03-24,491.5,491.5,491.5,491.5,10
2022-03-25,491.5,491.75,491.0,491.0,30
2022-03-28,491.0,491.0,491.0,491.0,0
2022-03-29,492.5,492.5,492.5,492.5,96
2022-03-30,492.5,492.5,490.5,490.5,24
2022-03-31,495.0,495.0,490.5,493.0,222
2022-04-01,493.0,493.0,493.0,493.0,20
