date,open,high,low,close,volume
2023-06-14,3780000.0,4200000.0,2079000.0,2100000.0,0
2023-06-15,1890000.0,2055900.0,816900.0,1115100.0,0
2023-06-16,966000.0,1152900.0,892500.0,1143870.0,0
2023-06-20,1155000.0,1558200.0,1155000.0,1197000.0,0
2023-06-21,1071000.0,1165500.0,1002750.0,1003800.0,0
2023-06-22,737100.0,1092000.0,588000.0,777000.0,4
2023-06-23,800100.0,961800.0,516600.0,552300.0,8
2023-06-26,499800.0,508200.0,361200.0,388500.0,6
2023-06-27,312900.0,390600.0,290430.0,354900.0,7
2023-06-28,327600.0,344400.0,270900.0,279300.0,7
2023-06-29,262500.0,302400.0,242550.0,260400.0,5
2023-06-30,266700.0,270900.0,224700.0,233100.0,30
2023-07-03,208740.0,260400.0,207900.0,235200.0,4
2023-07-05,245700.0,256200.0,239400.0,243600.0,4
2023-07-06,241500.0,247800.0,231000.0,235200.0,2
2023-07-07,237300.0,258300.0,228900.0,243600.0,4
2023-07-10,243600.0,256200.0,224700.0,237300.0,3
2023-07-11,231000.0,243600.0,220500.0,235200.0,5
2023-07-12,260400.0,302400.0,226800.0,231000.0,22
2023-07-13,235200.0,239400.0,203700.0,210000.0,7
2023-07-14,222600.0,222600.0,204750.0,208530.0,4
2023-07-17,231000.0,233100.0,206850.0,210000.0,9
2023-07-18,207690.0,210000.0,178500.0,183120.0,6
2023-07-19,179760.0,182700.0,161700.0,173040.0,5
2023-07-20,175980.0,180600.0,168210.0,170100.0,3
2023-07-21,174090.0,175560.0,158340.0,158340.0,3
2023-07-24,159600.0,159600.0,143010.0,145530.0,3
2023-07-25,140700.0,144690.0,132510.0,138600.0,3
2023-07-26,142800.0,161700.0,130410.0,138390.0,8
2023-07-27,134820.0,140700.0,122010.0,124950.0,4
2023-07-28,129990.0,129990.0,115500.0,127470.0,4
2023-07-31,147420.0,149940.0,134400.0,140700.0,5
2023-08-01,135240.0,144060.0,132300.0,135870.0,3
2023-08-02,135870.0,136290.0,128310.0,136080.0,2
2023-08-03,133140.0,135450.0,127470.0,131460.0,2
2023-08-04,132300.0,134190.0,126000.0,126420.0,1
2023-08-07,123900.0,133140.0,121800.0,126210.0,2
2023-08-08,124110.0,129990.0,118230.0,128940.0,2
2023-08-09,131250.0,132300.0,123060.0,126420.0,1
2023-08-10,130410.0,132090.0,123480.0,125790.0,1
2023-08-11,126210.0,130200.0,122850.0,130200.0,2
2023-08-14,131250.0,131250.0,126210.0,126630.0,1
2023-08-15,126210.0,128730.0,121380.0,123480.0,1
2023-08-16,119700.0,121800.0,98700.0,102900.0,4
2023-08-17,103950.0,103950.0,99330.0,101430.0,1
2023-08-18,99120.0,100800.0,94710.0,95550.0,2
2023-08-21,97020.0,97020.0,93240.0,94290.0,1
2023-08-22,96390.0,96600.0,86310.0,88200.0,1
2023-08-23,89670.0,102480.0,84840.0,98700.0,2
2023-08-24,98280.0,98910.0,87150.0,91140.0,1
2023-08-25,95130.0,100380.0,92400.0,92400.0,1
2023-08-28,92610.0,98280.0,89040.0,95340.0,1
2023-08-29,96600.0,105210.0,90510.0,93030.0,1
2023-08-30,93030.0,96390.0,90510.0,91350.0,0
2023-08-31,90510.0,97650.0,84420.0,90300.0,1
2023-09-01,115500.0,146790.0,92400.0,95760.0,19
2023-09-05,96810.0,98700.0,87150.0,90300.0,1
2023-09-06,88620.0,93450.0,86100.0,87150.0,1
2023-09-07,86520.0,90300.0,84630.0,85260.0,1
2023-09-08,85890.0,89250.0,80850.0,81060.0,2
2023-09-11,84000.0,84000.0,78750.0,78960.0,1
2023-09-12,83370.0,83370.0,77700.0,77910.0,1
2023-09-13,77700.0,80010.0,76020.0,79590.0,1
2023-09-14,79800.0,82320.0,79380.0,81270.0,0
2023-09-15,81060.0,84000.0,79800.0,83580.0,0
2023-09-18,87990.0,87990.0,79800.0,81060.0,0
2023-09-19,84420.0,84420.0,77700.0,79380.0,0
2023-09-20,79590.0,87150.0,76230.0,81900.0,1
2023-09-21,86100.0,90300.0,81690.0,89040.0,1
2023-09-22,83580.0,90720.0,83580.0,87360.0,0
2023-09-25,90510.0,100380.0,85050.0,100380.0,2
2023-09-26,98280.0,102900.0,92820.0,93450.0,2
2023-09-27,90300.0,100170.0,90300.0,94080.0,1
2023-09-28,94500.0,96600.0,93450.0,93450.0,0
2023-09-29,94500.0,99120.0,91560.0,96390.0,1
2023-10-02,95970.0,101850.0,92400.0,94500.0,1
2023-10-03,96600.0,97440.0,90300.0,91350.0,1
2023-10-04,91350.0,96600.0,89250.0,91350.0,1
2023-10-05,86520.0,91140.0,86520.0,87780.0,0
2023-10-06,90300.0,90300.0,77700.0,81690.0,1
2023-10-09,84210.0,84210.0,77910.0,82530.0,1
2023-10-10,82530.0,89250.0,81480.0,84000.0,0
2023-10-11,80010.0,97230.0,80010.0,97230.0,2
2023-10-12,92400.0,96600.0,86310.0,89460.0,1
2023-10-13,108360.0,133980.0,87360.0,90930.0,27
2023-10-16,90930.0,94500.0,78750.0,82950.0,4
2023-10-17,84000.0,89250.0,81900.0,86310.0,2
2023-10-18,86100.0,88200.0,82110.0,86310.0,1
2023-10-19,85050.0,89040.0,80010.0,88200.0,1
2023-10-20,79800.0,86100.0,79800.0,85890.0,1
2023-10-23,83370.0,87150.0,79800.0,84000.0,0
2023-10-24,81690.0,86520.0,80010.0,81480.0,0
2023-10-25,81900.0,83370.0,80010.0,81690.0,0
2023-10-26,83790.0,83790.0,79800.0,82110.0,0
2023-10-27,79800.0,82110.0,78750.0,79590.0,3
2023-10-30,84000.0,88620.0,81060.0,88620.0,1
2023-10-31,85890.0,88200.0,84000.0,85680.0,0
2023-11-01,85470.0,86730.0,80850.0,85890.0,1
2023-11-02,88410.0,88410.0,82950.0,86100.0,1
2023-11-03,97650.0,105000.0,83790.0,88200.0,18
2023-11-06,84210.0,123270.0,82110.0,89250.0,5
2023-11-07,93870.0,98700.0,87360.0,96600.0,1
2023-11-08,93450.0,96600.0,92190.0,93450.0,0
2023-11-09,94500.0,94500.0,84210.0,90300.0,1
2023-11-10,86310.0,90300.0,85470.0,88410.0,0
2023-11-13,92400.0,93030.0,87150.0,88620.0,0
2023-11-14,95550.0,95550.0,86520.0,92190.0,0
2023-11-15,89880.0,92400.0,88830.0,90510.0,0
2023-11-16,90300.0,104790.0,84420.0,87570.0,12
2023-11-17,108360.0,113400.0,86730.0,99540.0,45
2023-11-20,93660.0,111300.0,89250.0,108570.0,5
2023-11-21,102270.0,121800.0,100800.0,121800.0,5
2023-11-22,118650.0,121590.0,110250.0,112560.0,2
2023-11-24,107520.0,112560.0,105000.0,106260.0,1
2023-11-27,107100.0,107100.0,86100.0,92820.0,3
2023-11-28,90300.0,95550.0,89250.0,92820.0,1
2023-11-29,95340.0,114450.0,90300.0,110040.0,9
2023-11-30,111090.0,115500.0,107310.0,113400.0,2
2023-12-01,113400.0,114030.0,107100.0,110880.0,1
2023-12-04,109200.0,109200.0,104370.0,107310.0,1
2023-12-05,107100.0,114030.0,105210.0,111930.0,1
2023-12-06,112770.0,112770.0,100800.0,101850.0,1
2023-12-07,107100.0,107100.0,96600.0,100800.0,1
2023-12-08,102270.0,104790.0,96180.0,98490.0,1
2023-12-11,95970.0,102480.0,88410.0,98070.0,1
2023-12-12,100800.0,103320.0,96600.0,102060.0,0
2023-12-13,99120.0,102900.0,96810.0,98700.0,0
2023-12-14,98700.0,105000.0,97230.0,104580.0,1
