date,open,high,low,close,volume
2020-12-17,303.75,417.75,257.5,417.75,636868
2020-12-18,344.0,359.75,260.0,260.0,203440
2020-12-21,258.625,265.0,231.5,245.0,57440
2020-12-22,241.5,243.75,217.5,222.5,45148
2020-12-23,230.375,270.0,223.25,237.25,65512
2020-12-24,239.25,244.5,224.0,228.5,22220
2020-12-28,230.75,230.75,202.5,205.25,34680
2020-12-29,201.25,210.5,180.25,202.75,29548
2020-12-30,204.0,207.75,185.5,203.75,15360
2020-12-31,198.75,203.75,185.0,187.75,15468
2021-01-04,187.75,190.5,179.0,183.25,8300
2021-01-05,183.25,222.5,183.0,211.0,28084
2021-01-06,203.0,216.0,195.5,201.25,14032
2021-01-07,202.5,215.0,202.5,213.5,10576
2021-01-08,215.0,215.0,197.25,209.0,19568
2021-01-11,206.5,227.5,204.0500030517578,221.0,14564
2021-01-12,222.25,233.0,212.75,215.0,19480
2021-01-13,213.75,220.0,204.75,217.5,13844
2021-01-14,212.75,217.0,206.75,208.5,7472
2021-01-15,205.0,211.25,197.5,204.0,10280
2021-01-19,203.75,205.0,191.25,195.25,9200
2021-01-20,195.5,198.10000610351562,189.0,193.75,7896
2021-01-21,188.5,197.5,188.5,193.5,5072
2021-01-22,189.5,197.0,189.5,195.0,4820
2021-01-25,196.75,197.5,191.25,194.75,3592
2021-01-26,193.5,207.5,193.5,199.25,8512
2021-01-27,192.5,197.5,181.0,181.75,10780
2021-01-28,181.5,188.75,178.97500610351562,179.25,5404
2021-01-29,180.0,180.25,166.75,169.75,14216
2021-02-01,174.75,177.625,161.25,168.75,14412
2021-02-02,174.5,178.5,169.25,171.25,8188
2021-02-03,172.5,200.0,171.5,191.75,26660
2021-02-04,196.25,204.5,175.5,200.25,35604
2021-02-05,200.0,200.0,186.25,188.75,17544
2021-02-08,194.5,212.25,191.25,202.0,33956
2021-02-09,199.5,219.75,193.75,207.75,29232
2021-02-10,207.75,209.0,193.75,197.0,21888
2021-02-11,197.75,200.75,183.5,188.25,7812
2021-02-12,188.0,196.75,182.0,190.25,6984
2021-02-16,193.5,194.25,187.125,189.75,4640
2021-02-17,188.0,193.0,180.25,189.5,7064
2021-02-18,187.5,187.75,181.25,186.0,5016
2021-02-19,190.5,195.0,185.8249969482422,190.0,5764
2021-02-22,189.75,192.0,183.75,187.5,2704
2021-02-23,184.5,184.5,165.75,168.75,5572
2021-02-24,172.0,177.5,168.75,171.0,1636
2021-02-25,171.25,176.39999389648438,152.25,158.5,5504
2021-02-26,157.5,164.75,152.75,154.75,3060
2021-03-01,155.25,164.0,155.25,163.75,2232
2021-03-02,161.25,162.5,156.75,156.75,1716
2021-03-03,156.72500610351562,158.5,144.25,146.5,7012
2021-03-04,143.75,145.25,115.0,134.5,13288
2021-03-05,134.0,136.25,116.0,125.25,6044
2021-03-08,129.75,134.5,125.75,128.25,2324
2021-03-09,131.5,149.5,129.5,146.75,9240
2021-03-10,148.0,157.5,146.75,154.0,2224
2021-03-11,151.0,175.5,148.14999389648438,170.0,7764
2021-03-12,165.0,169.5,162.5,164.75,1284
2021-03-15,166.25,166.5,154.0,157.5,6064
2021-03-16,158.25,159.5,152.75,159.0,1312
2021-03-17,154.5,161.5,151.5,154.0,2164
2021-03-18,150.75,151.5,141.0,141.0,2748
2021-03-19,143.75,153.75,140.1750030517578,143.25,4752
2021-03-22,144.0,147.0,135.5,135.5,3468
2021-03-23,138.5,140.25,131.5,132.5,1596
2021-03-24,132.0,138.25,125.2249984741211,127.5,3020
2021-03-25,125.0,131.25,123.75,130.75,1448
2021-03-26,132.25,137.25,129.5,132.5,876
2021-03-29,133.25,141.1999969482422,132.5,136.5,3112
2021-03-30,134.0,143.0,132.75,142.5,2244
2021-03-31,144.9499969482422,144.9499969482422,140.5500030517578,143.25,1776
2021-04-01,144.0,145.0,141.25,143.25,916
2021-04-05,144.25,161.75,142.6999969482422,158.75,4196
2021-04-06,156.25,160.89999389648438,147.75,152.75,7640
2021-04-07,157.75,160.5,153.8249969482422,158.0,3128
2021-04-08,156.0,160.5,155.0,157.75,924
2021-04-09,158.0,158.5,153.0,154.25,924
2021-04-12,154.5,157.27499389648438,147.5,149.75,1220
2021-04-13,147.75,155.0,145.25,146.25,1108
2021-04-14,148.25,150.0,146.5,147.5,436
2021-04-15,150.25,150.25,137.75,138.0,968
2021-04-16,144.75,146.6999969482422,134.25,139.5,2176
2021-04-19,140.0,146.5,135.5,139.75,728
2021-04-20,138.75,138.75,129.0,129.25,1180
2021-04-21,129.0,131.4250030517578,126.25,128.75,1356
2021-04-22,130.75,140.0,129.25,137.25,1376
2021-04-23,139.75,146.52499389648438,137.25,137.875,948
2021-04-26,140.25,145.25,134.5,142.25,1008
2021-04-27,142.0,145.0,137.75,139.25,608
2021-04-28,140.77499389648438,146.25,139.75,146.25,644
2021-04-29,146.5,146.75,140.02499389648438,145.25,696
2021-04-30,144.75,144.75,128.75,135.25,4272
2021-05-03,134.0,136.5,125.0,125.0,1928
2021-05-04,125.0,128.5,121.25,123.75,1192
2021-05-05,125.0,127.0,119.75,122.5,1284
2021-05-06,120.75,124.25,120.0,122.5,500
2021-05-07,124.25,126.5,122.5,123.25,348
2021-05-10,121.25,124.25,120.0,124.0,1360
2021-05-11,120.0,122.5,119.05000305175781,122.25,896
2021-05-12,119.25,122.0,119.25,120.25,800
2021-05-13,121.25,124.5,117.75,117.75,1172
2021-05-14,121.0,121.25,118.0,119.75,180
2021-05-17,117.5,119.5,117.5,118.75,584
2021-05-18,117.5,161.0,116.3499984741211,141.75,169980
2021-05-19,141.25,142.25,127.0,136.25,11644
2021-05-20,136.5,142.5,133.5,139.75,6716
2021-05-21,140.5,144.5,135.25,143.0,2764
2021-05-24,143.75,143.75,137.25,139.25,4356
2021-05-25,139.5,140.5,132.75,132.75,1880
2021-05-26,129.25,131.25,125.25,127.25,1860
2021-05-27,128.25,134.5,127.5,132.25,1616
2021-05-28,131.25,140.89999389648438,130.25,131.25,1332
2021-06-01,132.75,137.5,127.0,136.5,2912
2021-06-02,139.75,141.25,132.5,133.5,3748
2021-06-03,132.0,139.0,131.5500030517578,135.75,1056
2021-06-04,142.5,144.25,135.75,136.25,3440
2021-06-07,137.0,141.375,136.5,140.5,1228
2021-06-08,139.25,145.25,135.75,140.5,4452
2021-06-09,170.0,173.6999969482422,145.25,153.5,14016
2021-06-10,156.0,162.4499969482422,149.375,156.0,2032
2021-06-11,160.75,169.25,149.8000030517578,153.25,7388
2021-06-14,155.25,157.0,146.0,147.75,2632
2021-06-15,148.5,148.5,140.02499389648438,142.5,2676
2021-06-16,140.25,146.5,138.75,146.5,1968
2021-06-17,145.0,152.0,145.0,152.0,2112
2021-06-18,150.5,152.97500610351562,144.0,151.0,3244
2021-06-21,145.25,186.25,145.25,169.5,99500
2021-06-22,163.25,167.5,157.0,162.5,6516
2021-06-23,163.0,173.75,162.0,173.75,4640
2021-06-24,171.75,173.5,160.5,169.25,3052
2021-06-25,167.75,170.5,162.5,164.75,1348
2021-06-28,165.0,165.0,153.85000610351562,162.25,2740
2021-06-29,162.75,162.75,155.5,157.0,884
2021-06-30,157.0,161.25,151.5,157.25,1412
2021-07-01,159.5,160.5,157.25,158.5,512
2021-07-02,158.52499389648438,158.75,155.25,155.75,1072
2021-07-06,157.75,160.5,155.0,160.375,1612
2021-07-07,160.25,162.5,153.75,155.75,2748
2021-07-08,157.0,157.9499969482422,150.25,152.5,1808
2021-07-09,153.0,162.5,150.5,159.25,1676
2021-07-12,159.25,166.25,155.75,164.0,3088
2021-07-13,161.5,162.75,155.97500610351562,157.75,900
2021-07-14,160.25,160.25,153.75,157.25,724
2021-07-15,154.5,154.5,151.25,152.75,1032
2021-07-16,150.75,152.5,142.64999389648438,142.75,1216
2021-07-19,138.75,148.5,137.5,143.75,784
2021-07-20,142.75,149.5,140.85000610351562,143.0,504
2021-07-21,145.25,147.25,142.5,145.5,648
2021-07-22,143.5,144.25,140.0,140.75,356
2021-07-23,139.25,151.5,139.25,142.75,2976
2021-07-26,156.0749969482422,156.0749969482422,127.75,142.0,16160
2021-07-27,128.75,143.75,128.75,137.25,1736
2021-07-28,135.75,145.75,131.75,139.75,932
2021-07-29,140.25,148.5,135.02499389648438,144.75,1376
2021-07-30,142.25,150.0,138.0,148.75,752
2021-08-02,148.75,152.89999389648438,136.75,138.25,980
2021-08-03,138.25,139.375,132.75,137.5,684
2021-08-04,136.25,137.75,130.25,132.25,1164
2021-08-05,133.0,136.25,132.5,133.75,132
2021-08-06,133.75,133.75,130.0,130.25,692
2021-08-09,131.25,142.0,131.25,135.25,804
2021-08-10,137.25,141.25,135.0,137.25,140
2021-08-11,132.0,133.89999389648438,128.75,133.5,912
2021-08-12,135.25,139.0,129.875,138.5,348
2021-08-13,133.0,133.0,122.7750015258789,126.25,1308
2021-08-16,127.0,146.75,122.5,126.5,5604
2021-08-17,126.25,128.22500610351562,120.0,120.5,516
2021-08-18,120.5,123.7249984741211,120.0,121.75,568
2021-08-19,121.0,124.625,115.5,115.5,460
2021-08-20,114.5,116.0,113.0,115.25,576
2021-08-23,116.75,121.0,116.44999694824219,120.5,824
2021-08-24,121.75,125.0,120.0,124.375,388
2021-08-25,121.875,126.25,119.5250015258789,124.75,320
2021-08-26,124.5,129.75,122.5,125.5,1064
2021-08-27,127.0,132.6999969482422,124.5,131.5,1700
2021-08-30,130.5,133.25,126.125,130.0,740
2021-08-31,125.25,130.5,125.0250015258789,126.5,544
2021-09-01,129.5,136.75,125.25,132.5,3816
2021-09-02,133.75,145.0,133.75,141.75,3104
2021-09-03,138.0,146.25,137.8000030517578,142.0,1280
2021-09-07,140.5,145.0,140.5,144.0,824
2021-09-08,149.625,155.0,139.5749969482422,144.5,3620
2021-09-09,143.0,153.75,139.5,153.75,1280
2021-09-10,152.5749969482422,154.5,145.25,153.5,672
2021-09-13,141.75,151.0,140.0500030517578,145.0,1344
2021-09-14,148.25,151.5,144.0,147.5,676
2021-09-15,147.25,147.25,137.5,137.5,1364
2021-09-16,139.5,145.75,137.5,140.25,556
2021-09-17,145.0,145.75,128.25,128.25,2232
2021-09-20,128.75,141.0,128.75,128.75,1320
2021-09-21,131.25,138.77499389648438,128.75,129.0,1208
2021-09-22,129.0,138.72500610351562,129.0,129.75,308
2021-09-23,130.0,138.25,130.0,136.75,608
2021-09-24,134.0,134.25,130.0,130.0,532
2021-09-27,131.25,135.5,130.25,131.25,1036
2021-09-28,131.25,131.39999389648438,126.25,127.0,676
2021-09-29,129.0,129.875,125.0,126.25,296
2021-09-30,134.25,134.25,125.3499984741211,132.25,624
2021-10-01,132.5,132.5,125.0,128.5,388
2021-10-04,137.5,137.5,122.5,122.5,792
2021-10-05,123.75,125.05000305175781,120.75,122.5,504
2021-10-06,121.25,124.4749984741211,121.25,123.75,460
2021-10-07,130.0,130.0,123.0,124.25,352
2021-10-08,124.5,129.5,123.75,125.625,216
2021-10-11,123.7249984741211,123.7249984741211,118.75,120.25,856
2021-10-12,122.0,123.0,115.75,123.0,868
2021-10-13,125.0,125.0,120.0,124.25,364
2021-10-14,126.25,126.25,120.5,121.25,288
2021-10-15,120.5,121.75,117.5,117.5,304
2021-10-18,118.0,122.5,118.0,119.75,468
2021-10-19,119.25,122.25,116.0250015258789,118.5,692
2021-10-20,119.25,121.5,118.75,120.0,572
2021-10-21,119.8499984741211,120.0,117.0,118.25,196
2021-10-22,119.0,120.8499984741211,107.5,107.5,1072
2021-10-25,107.75,112.5,107.75,109.0,712
2021-10-26,114.0,114.75,100.0,107.0,1524
2021-10-27,112.0,112.0,100.75,101.75,1268
2021-10-28,100.92500305175781,111.5,100.92500305175781,110.0,1180
2021-10-29,108.5,126.0,108.25,116.75,1864
2021-11-01,118.5,142.0,118.5,141.5,6192
2021-11-02,142.0,163.5,132.0,153.0,5908
2021-11-03,152.0,152.0,143.375,146.0,676
2021-11-04,143.25,143.25,133.75,136.25,1236
2021-11-05,136.25,145.25,136.25,145.25,676
2021-11-08,149.25,149.75,135.25,142.5,2620
2021-11-09,143.75,148.72500610351562,135.25,141.75,2756
2021-11-10,138.0,142.25,132.5,138.75,1920
2021-11-11,141.25,147.75,136.75,141.10000610351562,476
2021-11-12,139.75,139.75,132.5,137.0,380
2021-11-15,133.25,144.75,133.0,136.0,3864
2021-11-16,133.25,148.6999969482422,131.0,146.5,1996
2021-11-17,147.25,150.0,134.52499389648438,144.0,1356
2021-11-18,145.25,145.25,134.25,139.75,568
2021-11-19,136.25,145.0,130.25,138.0,1964
2021-11-22,138.0,138.0,121.125,127.5,376
2021-11-23,125.75,127.7249984741211,123.75,125.0,540
2021-11-24,125.0,128.1999969482422,119.5,123.75,940
2021-11-26,120.25,123.75,118.75,123.75,812
2021-11-29,125.5,129.60000610351562,118.75,120.25,408
2021-11-30,120.5,137.5,117.0,136.25,2452
2021-12-01,138.0,138.0,124.3499984741211,126.75,2076
2021-12-02,126.75,126.75,117.75,123.75,524
2021-12-03,121.5,121.75,115.0,120.25,788
2021-12-06,113.25,119.25,107.0,118.25,1256
2021-12-07,116.25,127.8499984741211,115.25,123.25,840
2021-12-08,124.5250015258789,124.5250015258789,118.25,118.5,288
2021-12-09,117.5,119.0,115.5,116.0,688
2021-12-10,117.5,119.2750015258789,117.5,118.5,356
2021-12-13,117.5,124.375,115.0,115.0,952
2021-12-14,119.92500305175781,119.92500305175781,112.75,114.375,976
2021-12-15,118.0,125.0,113.75,123.0,728
2021-12-16,121.25,127.25,121.25,127.25,792
2021-12-17,127.25,137.5,117.5,137.5,2776
2021-12-20,142.75,145.0,129.75,131.5,904
2021-12-21,128.5,147.0,127.75,144.5,1476
2021-12-22,144.5,144.5,135.75,143.75,1684
2021-12-23,141.75,146.0,137.0,140.875,284
2021-12-27,139.75,146.5,119.5,119.5,1320
2021-12-28,121.5,132.97500610351562,120.0250015258789,129.0,1872
2021-12-29,130.5500030517578,131.0,125.0,125.0,1660
2021-12-30,129.25,135.0749969482422,127.5,129.9499969482422,1508
2021-12-31,128.0,134.25,125.9749984741211,127.875,1180
2022-01-03,132.5,142.5,130.0,141.75,984
2022-01-04,147.25,147.25,138.25,142.5,1048
2022-01-05,141.75,148.25,139.4499969482422,143.0,316
2022-01-06,145.25,149.0,138.5,146.0,784
2022-01-07,146.75,150.0,136.5,140.75,1512
2022-01-10,140.0,143.25,131.0,143.25,968
2022-01-11,141.75,147.25,139.375,146.5,316
2022-01-12,149.0,149.0,139.25,147.5,556
2022-01-13,143.1999969482422,150.0,142.3249969482422,149.25,252
2022-01-14,149.75,161.75,147.75,159.0,2300
2022-01-18,164.25,164.25,152.5,155.25,864
2022-01-19,152.25,173.0,152.0,173.0,1560
2022-01-20,177.0,180.25,166.25,166.25,2976
2022-01-21,176.0,176.0,154.75,164.0,1016
2022-01-24,158.25,161.75,137.5,151.25,2224
2022-01-25,151.5,158.1750030517578,141.5,152.0,1024
2022-01-26,151.75,159.0,141.75,148.5,652
2022-01-27,150.0,154.75,144.0,144.25,1004
2022-01-28,143.75,155.25,143.75,155.25,364
2022-01-31,160.75,166.5,156.75,160.0,1372
2022-02-01,161.5,168.5,155.75,166.0,2404
2022-02-02,165.125,169.75,158.0500030517578,169.75,308
2022-02-03,169.75,173.14999389648438,157.5,157.5,2264
2022-02-04,158.5,168.52499389648438,156.25,159.75,376
2022-02-07,156.52499389648438,166.0,156.5,159.0,728
2022-02-08,160.75,160.75,153.5,156.0,312
2022-02-09,158.875,162.0,155.75,161.0,384
2022-02-10,161.25,163.75,158.0,158.0,448
2022-02-11,169.5,169.5,154.25,156.5,360
2022-02-14,168.0,168.0,154.5,154.5,232
2022-02-15,156.25,166.0,156.25,158.5,176
2022-02-16,159.5,160.52499389648438,154.0,156.25,448
2022-02-17,154.25,156.25,153.0,155.0,232
2022-02-18,151.52499389648438,154.875,151.5,152.0,368
2022-02-22,152.5,152.5,145.0,145.0,540
2022-02-23,148.75,150.8000030517578,144.25,146.25,280
2022-02-24,142.0,146.0,140.0,140.0,728
2022-02-25,142.5,147.0,141.25,143.75,480
2022-02-28,144.5,146.75,141.5,141.5,344
2022-03-01,139.25,150.25,139.25,143.5,188
2022-03-02,150.0,152.25,146.5,152.25,60
2022-03-03,152.0,153.75,146.4499969482422,150.5,624
2022-03-04,147.25,150.375,133.97500610351562,139.75,1184
2022-03-07,135.25,142.5,129.75,131.25,764
2022-03-08,137.25,137.25,125.0,125.0,1516
2022-03-09,130.0,136.64999389648438,128.0,133.25,688
2022-03-10,134.25,141.75,126.5,134.0,972
2022-03-11,132.875,137.0,128.5,130.5,232
2022-03-14,136.75,138.75,129.25,131.5,1372
2022-03-15,141.5,141.5,125.0,125.25,1508
2022-03-16,127.82499694824219,132.3249969482422,125.375,128.0,616
2022-03-17,138.25,141.5,132.0,138.25,604
2022-03-18,138.25,141.25,131.5,140.75,2100
2022-03-21,142.75,143.0,136.5,141.5,748
2022-03-22,140.25,141.52499389648438,130.5,137.5,2368
2022-03-23,135.5,142.0,131.47500610351562,131.75,740
2022-03-24,135.0,137.5,134.0,137.5,400
2022-03-25,133.375,137.5,130.4250030517578,134.5,884
2022-03-28,134.5,134.5,115.0,118.875,4664
2022-03-29,123.5,137.25,122.5,124.25,480
2022-03-30,124.25,124.25,105.2750015258789,113.5,2620
2022-03-31,115.0,117.75,109.75,112.0,1328
2022-04-01,112.25,116.0,112.25,113.5,384
2022-04-04,113.75,119.75,113.75,118.0,460
2022-04-05,119.25,119.25,118.125,118.25,76
2022-04-06,114.5,117.5,114.5,115.5,76
2022-04-07,116.25,116.25,112.25,112.5,356
2022-04-08,114.5,114.5,113.625,113.625,32
2022-04-11,113.5,113.7249984741211,110.25,110.5,212
2022-04-12,112.125,112.875,106.25,108.25,352
2022-04-13,110.05000305175781,110.25,104.75,107.5,616
2022-04-14,108.75,110.0,106.5250015258789,106.5250015258789,80
2022-04-18,110.0,110.0,102.5,103.125,748
2022-04-19,104.5,108.25,103.0,106.125,556
2022-04-20,107.0,107.0,103.9749984741211,106.0,116
2022-04-21,105.0,107.0250015258789,103.0,103.0,492
2022-04-22,102.5999984741211,106.25,102.5,104.5,180
2022-04-25,103.8499984741211,106.5,102.625,105.5,756
2022-04-26,104.375,105.5250015258789,93.0,95.25,1480
2022-04-27,95.0,96.25,93.25,95.5250015258789,628
2022-04-28,98.5,99.30000305175781,91.25,96.5,792
2022-04-29,99.07499694824219,101.25,96.67500305175781,100.25,388
2022-05-02,99.94999694824219,101.5,97.25,100.0,480
2022-05-03,99.5,101.7249984741211,96.25,97.5250015258789,688
2022-05-04,97.0,99.25,92.5,99.25,816
2022-05-05,93.4000015258789,94.5,92.5,93.75,204
2022-05-06,95.5,96.75,91.0,92.75,532
2022-05-09,94.25,94.25,83.0,86.0,2076
2022-05-10,86.75,88.5,83.75,88.5,388
2022-05-11,88.25,88.25,82.5,82.75,776
2022-05-12,83.75,88.82499694824219,82.75,87.25,1120
2022-05-13,87.5,89.0250015258789,86.0,88.25,700
2022-05-16,89.75,98.19999694824219,86.75,96.75,832
2022-05-17,98.75,114.25,94.07499694824219,113.25,2360
2022-05-18,110.25,116.75,108.25,114.25,1436
2022-05-19,109.875,122.25,109.875,122.25,828
2022-05-20,121.5,125.125,110.25,110.25,496
2022-05-23,114.0,114.375,108.5,111.0,656
2022-05-24,105.2750015258789,111.0,100.0,101.75,260
2022-05-25,99.5,102.25,99.5,101.0,248
2022-05-26,102.25,106.0,91.25,104.75,508
2022-05-27,106.0,111.7249984741211,106.0,108.0,76
2022-05-31,110.875,116.5,106.0,107.25,300
2022-06-01,109.0,117.5,98.75,109.0,708
2022-06-02,112.2750015258789,112.375,104.25,108.75,748
2022-06-03,109.5,112.0,105.82499694824219,110.0,380
2022-06-06,114.5,114.5,108.75,111.0,468
2022-06-07,115.25,115.25,108.0,109.0,368
2022-06-08,111.44999694824219,112.5,111.44999694824219,112.5,28
2022-06-09,112.5,112.5,107.2750015258789,107.2750015258789,204
