date,open,high,low,close,volume
2025-09-04,1755.0,2052.0,1755.0,1912.5,6846
2025-09-05,1935.0,2272.5,1935.0,2070.0,5929
2025-09-08,2079.0,2223.0,2079.0,2196.0,1980
2025-09-09,2205.0,2214.0,1993.5,2047.5,8682
2025-09-10,2020.5,2137.5,1872.0,1872.0,7356
2025-09-11,2026.800048828125,2407.5,1993.5,2358.0,17796
2025-09-12,2344.5,2542.5,2344.5,2493.0,9051
2025-09-15,2475.0,2542.5,2295.0,2335.5,1425
2025-09-16,2371.5,2781.0,2371.5,2776.5,1947
2025-09-17,2848.5,3082.5,2524.5,2947.5,1341
2025-09-18,2938.5,3105.0,2745.0,3091.5,15334
2025-09-19,3060.0,3438.0,2844.0,3240.0,29478
2025-09-22,3073.5,3240.0,2781.0,3127.5,14317
2025-09-23,3307.5,3316.5,459.0,481.5,42818
2025-09-24,437.8500061035156,463.5,300.1499938964844,313.20001220703125,22973
2025-09-25,302.3999938964844,337.04998779296875,294.29998779296875,315.0,5587
2025-09-26,301.5,310.5,277.20001220703125,290.25,4509
2025-09-29,287.1000061035156,293.8500061035156,270.0,270.0,2650
2025-09-30,278.1000061035156,279.0,252.4499969482422,252.89999389648438,2387
2025-10-01,255.14999389648438,288.0,255.14999389648438,282.1499938964844,2011
2025-10-02,276.29998779296875,281.25,272.25,280.3500061035156,853
2025-10-03,278.54998779296875,283.5,274.95001220703125,282.1499938964844,546
2025-10-06,282.1499938964844,283.5,270.0,273.1499938964844,592
2025-10-07,270.0,279.0,249.75,250.64999389648438,1376
2025-10-08,255.60000610351562,255.60000610351562,229.9499969482422,236.6999969482422,1769
2025-10-09,238.9499969482422,245.6999969482422,231.75,238.0500030517578,1008
2025-10-10,238.0500030517578,240.3000030517578,225.4499969482422,225.4499969482422,1357
2025-10-13,225.0,229.5,220.9499969482422,225.89999389648438,462
2025-10-14,225.0,226.8000030517578,215.5500030517578,218.6999969482422,776
2025-10-15,220.5,229.5,219.14999389648438,219.60000610351562,819
2025-10-16,216.0,225.89999389648438,198.0,200.6999969482422,1653
2025-10-17,200.25,211.5,192.60000610351562,195.3000030517578,1426
2025-10-20,195.3000030517578,221.85000610351562,195.3000030517578,216.89999389648438,723
2025-10-21,219.60000610351562,219.60000610351562,193.9499969482422,205.64999389648438,627
2025-10-22,213.3000030517578,216.0,194.39999389648438,206.5500030517578,737
2025-10-23,207.0,219.14999389648438,199.8000030517578,209.25,876
2025-10-24,209.6999969482422,210.60000610351562,200.6999969482422,201.60000610351562,479
2025-10-27,202.5,216.89999389648438,193.9499969482422,196.64999389648438,844
2025-10-28,197.10000610351562,213.75,193.0500030517578,212.85000610351562,1060
2025-10-29,208.8000030517578,234.0,205.64999389648438,229.9499969482422,2785
2025-10-30,220.5,227.6999969482422,211.5,217.8000030517578,635
2025-10-31,216.0,217.35000610351562,207.0,209.25,497
2025-11-03,224.5500030517578,224.5500030517578,202.9499969482422,206.5500030517578,316
2025-11-04,202.0500030517578,211.5,184.5,184.9499969482422,1327
2025-11-05,185.39999389648438,191.25,180.4499969482422,182.25,524
2025-11-06,180.0,193.5,180.0,189.89999389648438,485
2025-11-07,191.6999969482422,191.6999969482422,180.4499969482422,186.3000030517578,256
2025-11-10,185.85000610351562,189.0,176.39999389648438,189.0,2238
2025-11-11,187.64999389648438,189.0,163.35000610351562,172.35000610351562,970
2025-11-12,170.5500030517578,175.5,163.8000030517578,165.14999389648438,476
2025-11-13,163.8000030517578,170.10000610351562,157.5,158.39999389648438,484
2025-11-14,159.3000030517578,163.35000610351562,157.5,157.9499969482422,348
2025-11-17,159.75,159.75,153.0,156.60000610351562,362
2025-11-18,153.0,159.75,149.39999389648438,150.75,714
2025-11-19,153.0,184.5,153.0,157.5,3203
2025-11-20,165.14999389648438,171.89999389648438,154.35000610351562,154.35000610351562,531
2025-11-21,152.10000610351562,167.39999389648438,151.1999969482422,162.4499969482422,560
2025-11-24,171.0,171.0,157.5,157.9499969482422,414
2025-11-25,166.5,166.5,157.5,160.1999969482422,163
2025-11-26,168.75,169.64999389648438,155.25,157.0500030517578,288
2025-11-28,165.14999389648438,165.60000610351562,157.9499969482422,163.8000030517578,209
2025-12-01,162.0,162.0,157.9499969482422,159.3000030517578,273
2025-12-02,163.35000610351562,163.35000610351562,153.0,153.0,293
2025-12-03,153.0,155.25,149.39999389648438,154.8000030517578,277
2025-12-04,151.1999969482422,154.8000030517578,151.1999969482422,153.89999389648438,153
2025-12-05,153.4499969482422,161.10000610351562,150.3000030517578,153.4499969482422,675
2025-12-08,153.4499969482422,157.9499969482422,149.85000610351562,151.1999969482422,407
2025-12-09,149.85000610351562,153.89999389648438,147.60000610351562,148.9499969482422,364
2025-12-10,148.5,148.9499969482422,139.9499969482422,144.89999389648438,638
2025-12-11,151.1999969482422,157.5,144.0,157.0500030517578,499
2025-12-12,153.89999389648438,156.14999389648438,145.8000030517578,147.60000610351562,270
2025-12-15,147.14999389648438,151.1999969482422,134.5500030517578,134.5500030517578,636
2025-12-16,130.5,134.5500030517578,126.0,127.80000305175781,561
2025-12-17,129.60000610351562,134.5500030517578,122.8499984741211,124.6500015258789,217
2025-12-18,123.75,125.0999984741211,122.8499984741211,125.0999984741211,185
2025-12-19,123.30000305175781,127.3499984741211,123.30000305175781,123.75,118
2025-12-22,121.5,126.0,113.8499984741211,121.5,1071
2025-12-23,121.94999694824219,121.94999694824219,114.75,115.19999694824219,373
2025-12-24,112.94999694824219,133.1999969482422,112.94999694824219,126.44999694824219,943
2025-12-26,135.0,144.89999389648438,126.0,131.39999389648438,3446
2025-12-29,139.0500030517578,139.0500030517578,112.5,115.6500015258789,2114
2025-12-30,112.94999694824219,115.6500015258789,105.75,111.5999984741211,1008
2025-12-31,108.44999694824219,115.19999694824219,103.94999694824219,103.94999694824219,861
2026-01-02,116.0999984741211,116.0999984741211,108.44999694824219,113.4000015258789,358
2026-01-05,113.8499984741211,126.0,113.4000015258789,114.30000305175781,822
2026-01-06,117.9000015258789,124.19999694824219,112.94999694824219,113.4000015258789,570
2026-01-07,117.44999694824219,131.39999389648438,117.0,128.25,951
2026-01-08,124.6500015258789,127.80000305175781,120.1500015258789,125.55000305175781,761
2026-01-09,126.9000015258789,132.75,122.4000015258789,122.4000015258789,268
2026-01-12,127.80000305175781,129.60000610351562,121.94999694824219,125.55000305175781,274
2026-01-13,129.14999389648438,130.9499969482422,119.25,119.25,180
2026-01-14,120.5999984741211,126.9000015258789,116.0999984741211,116.0999984741211,168
2026-01-15,116.55000305175781,127.80000305175781,115.6500015258789,121.94999694824219,363
2026-01-16,126.0,126.0,112.5,113.8499984741211,1002
2026-01-20,112.94999694824219,120.1500015258789,112.94999694824219,116.55000305175781,233
2026-01-21,117.0,121.5,108.9000015258789,108.9000015258789,356
2026-01-22,112.05000305175781,113.8499984741211,98.55000305175781,103.94999694824219,1236
2026-01-23,105.30000305175781,112.94999694824219,103.94999694824219,104.8499984741211,350
2026-01-26,104.8499984741211,110.25,104.8499984741211,108.0,852
2026-01-27,117.0,117.0,106.19999694824219,106.19999694824219,107
2026-01-28,112.5,112.5,103.5,103.94999694824219,247
2026-01-29,105.75,126.0,97.6500015258789,118.3499984741211,6046
2026-01-30,113.8499984741211,132.3000030517578,103.5,117.44999694824219,2056
2026-02-02,118.80000305175781,121.5,106.19999694824219,109.3499984741211,1284
2026-02-03,109.80000305175781,112.05000305175781,108.9000015258789,108.9000015258789,454
2026-02-04,108.9000015258789,109.80000305175781,99.0,99.9000015258789,599
2026-02-05,97.19999694824219,105.75,96.75,99.44999694824219,361
2026-02-06,101.25,108.0,101.25,105.75,198
2026-02-09,104.4000015258789,108.9000015258789,97.19999694824219,104.8499984741211,227
2026-02-10,110.25,110.25,101.25,106.19999694824219,169
2026-02-11,106.6500015258789,107.55000305175781,99.9000015258789,104.8499984741211,568
2026-02-12,103.94999694824219,138.14999389648438,99.0,99.44999694824219,2755
2026-02-13,100.3499984741211,108.44999694824219,96.75,99.9000015258789,280
2026-02-17,90.44999694824219,103.05000305175781,90.44999694824219,96.75,142
2026-02-18,100.80000305175781,102.5999984741211,96.75,98.55000305175781,218
2026-02-19,101.69999694824219,101.69999694824219,94.05000305175781,97.19999694824219,521
2026-02-20,103.05000305175781,103.05000305175781,94.5,95.4000015258789,255
2026-02-23,93.1500015258789,101.25,92.69999694824219,99.0,376
2026-02-24,99.9000015258789,103.5,95.4000015258789,103.5,279
2026-02-25,102.5999984741211,102.5999984741211,96.75,102.5999984741211,210
2026-02-26,101.69999694824219,101.69999694824219,97.19999694824219,101.69999694824219,239
2026-02-27,100.3499984741211,102.5999984741211,96.75,97.19999694824219,227
2026-03-02,95.8499984741211,97.19999694824219,92.25,94.5,314
2026-03-03,94.94999694824219,98.55000305175781,92.25,92.69999694824219,134
2026-03-04,90.0,99.0,90.0,93.5999984741211,302
2026-03-05,97.6500015258789,98.0999984741211,94.5,97.19999694824219,118
2026-03-06,98.55000305175781,98.55000305175781,94.5,96.30000305175781,212
2026-03-09,96.75,98.0999984741211,94.5,97.6500015258789,253
2026-03-10,96.30000305175781,105.75,95.4000015258789,98.55000305175781,645
2026-03-11,97.19999694824219,99.44999694824219,95.4000015258789,99.44999694824219,234
2026-03-12,90.9000015258789,98.55000305175781,90.9000015258789,95.8499984741211,348
2026-03-13,100.3499984741211,100.3499984741211,96.30000305175781,99.0,72
2026-03-16,99.0,99.0,94.5,97.6500015258789,38
2026-03-17,100.3499984741211,100.3499984741211,97.19999694824219,99.0,76
2026-03-18,99.0,99.0,81.0,81.9000015258789,1189
2026-03-19,81.9000015258789,84.5999984741211,73.80000305175781,74.25,965
2026-03-20,79.19999694824219,85.94999694824219,74.25,74.69999694824219,3146
2026-03-23,69.5999984741211,82.19999694824219,61.5,74.0999984741211,4303
2026-03-24,72.1500015258789,99.0,72.1500015258789,88.19999694824219,18073
2026-03-25,56.400001525878906,69.0,49.77000045776367,51.29999923706055,662903
2026-03-26,91.05000305175781,130.5,81.30000305175781,106.5,1560550
2026-03-27,99.5999984741211,100.5,52.5,57.0,152997
2026-03-30,44.099998474121094,51.900001525878906,38.400001525878906,46.5,80140
2026-03-31,43.5,67.5,42.0,61.5,68317
2026-04-01,57.900001525878906,67.5,51.29999923706055,63.900001525878906,22887
2026-04-02,57.599998474121094,63.0,56.459999084472656,58.79999923706055,11320
2026-04-06,56.099998474121094,67.5,56.099998474121094,58.79999923706055,6760
2026-04-07,62.099998474121094,74.69999694824219,58.79999923706055,72.0,49680
2026-04-08,72.9000015258789,72.9000015258789,57.150001525878906,57.900001525878906,8447
2026-04-09,58.5,65.0999984741211,54.0,62.400001525878906,158850
2026-04-10,59.099998474121094,63.27000045776367,52.79999923706055,59.099998474121094,7100
2026-04-13,58.79999923706055,59.099998474121094,55.79999923706055,57.900001525878906,18243
2026-04-14,62.70000076293945,66.0,42.0,43.79999923706055,30467
2026-04-15,44.70000076293945,47.279998779296875,39.599998474121094,43.20000076293945,28000
2026-04-16,46.79999923706055,53.54999923706055,45.0,46.5,27207
2026-04-17,14.880000114440918,16.5,10.380000114440918,10.739999771118164,309067
2026-04-20,14.010000228881836,37.5,6.119999885559082,6.75,14646340
2026-04-21,9.449999809265137,10.079999923706055,7.559999942779541,8.520000457763672,8080290
2026-04-22,7.230000019073486,7.800000190734863,6.599999904632568,7.199999809265137,803927
2026-04-23,6.150000095367432,6.449999809265137,4.949999809265137,5.099999904632568,575093
2026-04-24,5.909999847412109,5.909999847412109,5.28000020980835,5.519999980926514,1842247
2026-04-27,5.400000095367432,5.489999771118164,4.949999809265137,5.070000171661377,505290
2026-04-28,5.039999961853027,5.039999961853027,4.019999980926514,4.289999961853027,367460
2026-04-29,4.349999904632568,4.409999847412109,3.9000000953674316,4.230000019073486,219253
2026-04-30,3.869999885559082,4.019999980926514,2.7300000190734863,3.1500000953674316,517020
2026-05-01,2.759999990463257,2.759999990463257,2.4000000953674316,2.609999895095825,330853
2026-05-04,2.4000000953674316,3.6500000953674316,2.4000000953674316,3.0799999237060547,724700
2026-05-05,2.9700000286102295,3.049999952316284,2.630000114440918,2.6700000762939453,215500
2026-05-06,2.759999990463257,2.859999895095825,2.430000066757202,2.569999933242798,365500
2026-05-07,2.5999999046325684,2.799999952316284,2.0799999237060547,2.2899999618530273,289800
2026-05-08,2.259999990463257,2.299999952316284,1.6699999570846558,1.7300000190734863,309500
2026-05-11,1.809999942779541,1.809999942779541,1.5199999809265137,1.590000033378601,526600
2026-05-12,1.5499999523162842,1.5700000524520874,1.2699999809265137,1.3300000429153442,4296600
2026-05-13,1.8600000143051147,2.319999933242798,1.7300000190734863,2.0299999713897705,56238500
2026-05-14,2.0399999618530273,2.990000009536743,1.9199999570846558,2.680000066757202,4491300
2026-05-15,2.4600000381469727,2.880000114440918,1.5499999523162842,1.7599999904632568,882700
2026-05-18,1.7100000381469727,1.7400000095367432,1.590000033378601,1.659999966621399,141000
2026-05-19,1.6100000143051147,1.7649999856948853,1.5,1.5199999809265137,197300
2026-05-20,1.5199999809265137,1.7799999713897705,1.5099999904632568,1.5199999809265137,163200
2026-05-21,1.5299999713897705,1.600000023841858,1.5099999904632568,1.5099999904632568,100300
2026-05-22,1.5399999618530273,1.6200000047683716,1.440000057220459,1.4600000381469727,116600
2026-05-26,1.5299999713897705,1.534999966621399,1.3899999856948853,1.409999966621399,81700
2026-05-27,1.409999966621399,1.4500000476837158,1.3600000143051147,1.409999966621399,48400
2026-05-28,1.399999976158142,1.5399999618530273,1.399999976158142,1.399999976158142,74500
2026-05-29,1.4199999570846558,1.4500000476837158,1.3799999952316284,1.3799999952316284,143900
2026-06-01,1.3200000524520874,1.5099999904632568,1.2400000095367432,1.3799999952316284,460700
2026-06-02,1.350000023841858,1.3949999809265137,1.2999999523162842,1.340000033378601,158200
2026-06-03,1.3209999799728394,1.590000033378601,1.2799999713897705,1.350000023841858,400700
2026-06-04,1.2999999523162842,1.3550000190734863,1.2999999523162842,1.340000033378601,73200
2026-06-05,1.340000033378601,1.3600000143051147,1.0,1.0700000524520874,183900
2026-06-08,1.100000023841858,1.6799999475479126,0.8600000143051147,1.100000023841858,4575100
2026-06-09,1.149999976158142,1.4500000476837158,1.0800000429153442,1.190000057220459,2392800
2026-06-10,1.3300000429153442,1.4500000476837158,1.2200000286102295,1.3799999952316284,1673700
2026-06-11,1.3200000524520874,1.4199999570846558,1.0399999618530273,1.2799999713897705,168700
2026-06-12,1.2799999713897705,1.649999976158142,1.2400000095367432,1.4600000381469727,432300
2026-06-15,1.440000057220459,1.4700000286102295,1.350000023841858,1.4500000476837158,118100
2026-06-16,1.4010000228881836,1.465000033378601,1.3200000524520874,1.3899999856948853,56800
2026-06-17,1.2599999904632568,1.4299999475479126,1.25,1.2899999618530273,68200
2026-06-18,1.3049999475479126,1.3799999952316284,1.25,1.3600000143051147,66000
2026-06-22,1.3200000524520874,1.350000023841858,1.25,1.340000033378601,62700
2026-06-23,1.2899999618530273,1.3350000381469727,1.2599999904632568,1.309999942779541,39000
2026-06-24,1.2699999809265137,1.3259999752044678,1.1699999570846558,1.190000057220459,40300
2026-06-25,1.1950000524520874,1.2000000476837158,1.1200000047683716,1.149999976158142,13000
2026-06-26,1.1399999856948853,1.1799999475479126,1.059999942779541,1.1299999952316284,61000
2026-06-29,1.1399999856948853,1.2100000381469727,1.100000023841858,1.2000000476837158,26200
2026-06-30,1.2000000476837158,1.2400000095367432,1.1399999856948853,1.1399999856948853,33400
2026-07-01,1.100000023841858,1.1699999570846558,1.090000033378601,1.1699999570846558,92100
2026-07-02,1.1449999809265137,1.159999966621399,1.0800000429153442,1.149999976158142,44500
2026-07-06,1.149999976158142,1.5700000524520874,1.149999976158142,1.3899999856948853,1166700
2026-07-07,1.3899999856948853,1.3899999856948853,1.2799999713897705,1.3700000047683716,51500
2026-07-08,1.3300000429153442,1.350000023841858,1.2999999523162842,1.3200000524520874,47600
2026-07-09,1.3200000524520874,1.3700000047683716,1.2899999618530273,1.3300000429153442,31500
2026-07-10,1.2999999523162842,1.409999966621399,1.2899999618530273,1.340000033378601,31100
2026-07-13,1.3200000524520874,1.3200000524520874,1.2100000381469727,1.2100000381469727,39200
2026-07-14,1.1799999475479126,1.309999942779541,1.1200000047683716,1.159999966621399,35200
2026-07-15,1.159999966621399,1.2330000400543213,1.149999976158142,1.149999976158142,52400
2026-07-16,1.1699999570846558,1.190000057220459,1.1549999713897705,1.1699999570846558,14200
2026-07-17,1.100000023841858,1.1649999618530273,1.100000023841858,1.149999976158142,12300
2026-07-20,1.1200000047683716,1.190000057220459,1.1100000143051147,1.1299999952316284,17500
