date,open,high,low,close,volume
2023-10-09,250.0,250.0,250.0,250.0,0
2023-10-10,250.0,305.0,230.0,255.0,77738
2023-10-11,241.0,264.0,232.0,260.0,10992
2023-10-12,227.5,247.0,227.5,237.0,3672
2023-10-13,233.0,260.0,233.0,250.5,3626
2023-10-16,251.0,265.5,235.5,249.5,3584
2023-10-17,242.0,254.0,228.5,246.0,4670
2023-10-18,242.5,255.0,238.0,246.0,3582
2023-10-19,240.5,285.0,240.5,280.0,6212
2023-10-20,264.5,275.0,256.0,275.0,2810
2023-10-23,261.5,372.0,261.5,322.5,4246
2023-10-24,322.5,402.5,316.5,368.5,1800
2023-10-25,364.5,397.45001220703125,343.0,377.0,870
2023-10-26,351.5,490.0,349.79998779296875,475.0,4430
2023-10-27,470.0,535.0,451.0,529.0,4770
2023-10-30,542.0,773.5,495.0,685.0,33390
2023-10-31,638.5,675.0,523.0,538.0,3726
2023-11-01,510.0,572.5,500.54998779296875,543.5,3306
2023-11-02,528.0,637.0,523.5,609.0,2062
2023-11-03,610.0,634.25,581.0,604.25,1590
2023-11-06,604.5,728.0,604.5,712.5,4018
2023-11-07,721.0,725.0,592.5,651.5,2752
2023-11-08,631.0,631.0,365.5,520.5,5830
2023-11-09,541.5,593.0,481.0,545.0,4024
2023-11-10,535.0,697.8499755859375,535.0,675.5,1488
2023-11-13,680.5,690.0,606.0,637.5,1176
2023-11-14,623.0,660.0,600.0,654.0,610
2023-11-15,640.5,750.0,640.5,724.0,3256
2023-11-16,750.0,750.0,656.5,684.0,1048
2023-11-17,682.0,734.0,606.0,654.5,1336
2023-11-20,601.0,675.0,601.0,667.5,2004
2023-11-21,637.5,691.0,606.0,662.0,1988
2023-11-22,667.0,724.5,655.5,674.5,2388
2023-11-24,669.5,742.5,662.5,735.0,5300
2023-11-27,742.5,742.5,626.5,684.0,5336
2023-11-28,675.0,737.5,650.5,700.0,4444
2023-11-29,706.5,770.0,605.0,666.0,5192
2023-11-30,674.5,740.0,625.0499877929688,687.5,6212
2023-12-01,699.5,710.5,636.0,646.5,3242
2023-12-04,652.5,680.0,632.0,658.5,4038
2023-12-05,625.5,707.0999755859375,625.5,668.5,5762
2023-12-06,667.5,723.75,573.0,660.0,7478
2023-12-07,672.0,690.0,632.5,659.0,6146
2023-12-08,660.0,665.0,606.0,646.0,5596
2023-12-11,623.0,640.0,550.5499877929688,590.0,5692
2023-12-12,580.0,626.0,562.5,601.5,6978
2023-12-13,599.0,613.5999755859375,533.0,555.5,7392
2023-12-14,592.5,599.5,557.5,567.5,4114
2023-12-15,597.0,610.0,540.5,572.5,5520
2023-12-18,569.5,610.0,557.0499877929688,562.5,6708
2023-12-19,554.0,598.0,534.5,566.5,4270
