date,open,high,low,close,volume
2012-01-03,8867.25,9024.75,8599.5,8851.5,382
2012-01-04,8804.25,9040.5,8757.0,8851.5,297
2012-01-05,9292.5,9371.25,8741.25,8930.25,613
2012-01-06,8898.75,9009.0,8804.25,8820.0,201
2012-01-09,8867.25,9182.25,8709.75,8977.5,367
2012-01-10,9040.5,9056.25,8678.25,8741.25,194
2012-01-11,8709.75,9024.75,8662.5,8851.5,321
2012-01-12,8835.75,9198.0,8788.5,9103.5,334
2012-01-13,9024.75,9481.5,8883.0,9292.5,271
2012-01-17,9339.75,9560.25,9103.5,9213.75,333
2012-01-18,9276.75,9513.0,9150.75,9434.25,152
2012-01-19,9434.25,9733.5,9213.75,9544.5,163
2012-01-20,9544.5,9639.0,9355.5,9481.5,135
2012-01-23,9497.25,9654.75,9072.0,9135.0,177
2012-01-24,9119.25,9276.75,8977.5,9182.25,120
2012-01-25,9198.0,9339.75,9009.0,9324.0,155
2012-01-26,9371.25,9702.0,9072.0,9434.25,239
2012-01-27,9371.25,9702.0,9276.75,9654.75,124
2012-01-30,9639.0,9733.5,9308.25,9497.25,134
2012-01-31,9623.25,9702.0,9387.0,9576.0,134
2012-02-01,9591.75,9938.25,9497.25,9891.0,188
2012-02-02,9859.5,9969.75,9733.5,9812.25,201
2012-02-03,9906.75,10253.25,9796.5,10048.5,186
2012-02-06,10001.25,10473.75,9812.25,10426.5,116
2012-02-07,10410.75,10410.75,9891.0,9954.0,177
2012-02-08,10001.25,10174.5,9749.25,9891.0,209
2012-02-09,9922.5,10048.5,9749.25,9780.75,149
2012-02-10,9733.5,9891.0,9513.0,9560.25,103
2012-02-13,9780.75,10347.75,9765.0,9985.5,346
2012-02-14,10001.25,10678.5,9938.25,10158.75,360
2012-02-15,10300.5,10757.25,10269.0,10599.75,272
2012-02-16,10647.0,11151.0,10489.5,10993.5,318
2012-02-17,11119.5,11576.25,11040.75,11340.0,745
2012-02-21,11387.25,11387.25,10710.0,10773.0,285
2012-02-22,10946.25,10993.5,10442.25,10489.5,257
2012-02-23,10536.75,10788.75,10426.5,10662.75,225
2012-02-24,10678.5,10804.5,10505.25,10568.25,252
2012-02-27,10599.75,10804.5,10489.5,10725.75,263
2012-02-28,10725.75,10867.5,10615.5,10678.5,168
2012-02-29,10710.0,10930.5,10694.25,10741.5,186
2012-03-01,10788.75,11166.75,10741.5,11072.25,240
2012-03-02,11088.0,11466.0,10883.25,11103.75,334
2012-03-05,11135.25,11340.0,10962.0,11261.25,222
2012-03-06,11198.25,11245.5,10977.75,11182.5,179
2012-03-07,11229.75,11403.0,11198.25,11277.0,197
2012-03-08,11324.25,11466.0,11040.75,11434.5,215
2012-03-09,11418.75,11844.0,11340.0,11497.5,190
2012-03-12,11544.75,11702.25,11355.75,11655.0,442
2012-03-13,11686.5,12127.5,11623.5,11812.5,431
2012-03-14,11812.5,11907.0,11497.5,11749.5,116
2012-03-15,11733.75,11796.75,11560.5,11781.0,130
2012-03-16,11812.5,12001.5,11544.75,11592.0,263
2012-03-19,11655.0,11891.25,11481.75,11670.75,206
2012-03-20,9450.0,9481.5,8111.25,8174.25,7342
2012-03-21,8111.25,8394.75,7969.5,8064.0,2007
2012-03-22,8032.5,8190.0,7717.5,7922.25,2624
2012-03-23,7953.75,8473.5,7906.5,8410.5,1028
2012-03-26,8489.25,8583.75,8394.75,8489.25,610
2012-03-27,8253.0,8394.75,8190.0,8316.0,444
2012-03-28,8316.0,8394.75,8142.75,8237.25,297
2012-03-29,8190.0,8300.25,8111.25,8205.75,277
2012-03-30,8253.0,8316.0,8048.25,8064.0,324
2012-04-02,8001.0,8190.0,7938.0,8095.5,179
2012-04-03,8095.5,8142.75,7938.0,7969.5,223
2012-04-04,7938.0,7953.75,7764.75,7827.75,333
2012-04-05,7796.25,7843.5,7670.25,7717.5,153
2012-04-09,7717.5,7780.5,7591.5,7638.75,178
2012-04-10,6930.0,7213.5,6552.0,6709.5,1757
2012-04-11,6693.75,6961.5,6630.75,6867.0,609
2012-04-12,6819.75,7008.75,6804.0,6867.0,425
2012-04-13,6851.25,6961.5,6788.25,6930.0,354
2012-04-16,6961.5,7103.25,6851.25,7024.5,429
2012-04-17,7056.0,7166.25,6882.75,7103.25,201
2012-04-18,7323.75,7371.0,7103.25,7134.75,459
2012-04-19,7166.25,7654.5,7166.25,7465.5,573
2012-04-20,7575.75,7827.75,7323.75,7701.75,695
2012-04-23,7434.0,7670.25,7276.5,7512.75,300
2012-04-24,7481.25,8032.5,7434.0,7906.5,743
2012-04-25,7953.75,7969.5,7434.0,7575.75,482
2012-04-26,7528.5,7686.0,7402.5,7560.0,212
2012-04-27,7591.5,7623.0,7497.0,7575.75,236
2012-04-30,7481.25,7512.75,7339.5,7465.5,226
2012-05-01,7465.5,7528.5,7323.75,7465.5,432
2012-05-02,7418.25,7497.0,7276.5,7418.25,151
2012-05-03,7386.75,7386.75,7119.0,7245.0,209
2012-05-04,7245.0,7465.5,7182.0,7229.25,223
2012-05-07,7229.25,7512.75,7150.5,7386.75,270
2012-05-08,7308.0,7497.0,7213.5,7465.5,193
2012-05-09,7418.25,7465.5,7260.75,7260.75,151
2012-05-10,7308.0,7355.25,7197.75,7260.75,83
2012-05-11,7229.25,7292.25,7213.5,7260.75,84
2012-05-14,7150.5,7166.25,6977.25,7071.75,142
2012-05-15,7056.0,7071.75,6945.75,6977.25,101
2012-05-16,6977.25,7071.75,6772.5,6867.0,183
2012-05-17,6851.25,6851.25,6583.5,6615.0,184
2012-05-18,6615.0,6725.25,6394.5,6489.0,138
2012-05-21,6489.0,6709.5,6457.5,6678.0,179
2012-05-22,6678.0,6693.75,6457.5,6489.0,189
2012-05-23,6457.5,6599.25,6457.5,6583.5,128
2012-05-24,6599.25,6693.75,6457.5,6615.0,75
2012-05-25,6583.5,6662.25,6457.5,6536.25,90
2012-05-29,6567.75,6709.5,6504.75,6536.25,119
2012-05-30,6473.25,6552.0,6363.0,6457.5,147
2012-05-31,6489.0,6567.75,6378.75,6536.25,144
2012-06-01,6378.75,6599.25,6378.75,6520.5,211
2012-06-04,6567.75,6646.5,6457.5,6615.0,116
2012-06-05,6536.25,6741.0,6536.25,6725.25,159
2012-06-06,6756.75,6756.75,6536.25,6646.5,143
2012-06-07,6693.75,6693.75,6378.75,6552.0,145
2012-06-08,6552.0,6583.5,6504.75,6583.5,123
2012-06-11,6615.0,6630.75,6520.5,6615.0,236
2012-06-12,6693.75,6756.75,6630.75,6756.75,150
2012-06-13,6756.75,6804.0,6599.25,6709.5,176
2012-06-14,6725.25,6804.0,6662.25,6772.5,108
2012-06-15,6741.0,6945.75,6709.5,6945.75,137
2012-06-18,6867.0,6882.75,6756.75,6772.5,101
2012-06-19,6788.25,6945.75,6725.25,6851.25,84
2012-06-20,6867.0,6867.0,6772.5,6788.25,94
2012-06-21,6756.75,6835.5,6599.25,6630.75,243
2012-06-22,6662.25,6709.5,6520.5,6630.75,874
2012-06-25,6504.75,6693.75,6504.75,6599.25,135
2012-06-26,6630.75,6693.75,6583.5,6662.25,104
2012-06-27,6693.75,6756.75,6567.75,6741.0,109
2012-06-28,6678.0,6756.75,6567.75,6693.75,114
2012-06-29,6741.0,6772.5,6693.75,6772.5,105
2012-07-02,6772.5,6788.25,6646.5,6693.75,121
2012-07-03,6662.25,6772.5,6662.25,6741.0,37
2012-07-05,6678.0,6741.0,6630.75,6709.5,84
2012-07-06,6630.75,6709.5,6630.75,6709.5,76
2012-07-09,6678.0,6882.75,6630.75,6851.25,211
2012-07-10,6851.25,6851.25,6709.5,6725.25,119
2012-07-11,6741.0,6741.0,6630.75,6693.75,201
2012-07-12,6646.5,6693.75,6599.25,6646.5,159
2012-07-13,6646.5,6741.0,6646.5,6709.5,121
2012-07-16,6678.0,6772.5,6536.25,6756.75,41
2012-07-17,6756.75,6772.5,6678.0,6709.5,33
2012-07-18,6725.25,6772.5,6678.0,6725.25,114
2012-07-19,6725.25,6741.0,6615.0,6646.5,210
2012-07-20,6615.0,6709.5,6615.0,6709.5,54
2012-07-23,6630.75,6709.5,6630.75,6693.75,64
2012-07-24,6678.0,6709.5,6662.25,6693.75,164
2012-07-25,6741.0,6772.5,6662.25,6709.5,145
2012-07-26,6756.75,6851.25,6693.75,6804.0,98
2012-07-27,6804.0,6835.5,6725.25,6819.75,85
2012-07-30,6835.5,6851.25,6725.25,6788.25,106
2012-07-31,6788.25,6819.75,6725.25,6804.0,221
2012-08-01,6835.5,6835.5,6693.75,6772.5,183
2012-08-02,6693.75,6819.75,6693.75,6788.25,82
2012-08-03,6851.25,6898.5,6741.0,6788.25,275
2012-08-06,6804.0,6835.5,6756.75,6819.75,54
2012-08-07,6819.75,6819.75,6741.0,6788.25,109
2012-08-08,6756.75,7355.25,6741.0,7339.5,300
2012-08-09,7371.0,7560.0,7197.75,7449.75,112
2012-08-10,7449.75,7497.0,7276.5,7276.5,43
2012-08-13,7245.0,7418.25,7103.25,7386.75,43
2012-08-14,7434.0,7607.25,7197.75,7481.25,149
2012-08-15,7449.75,7812.0,7449.75,7764.75,123
2012-08-16,7796.25,7843.5,7560.0,7686.0,136
2012-08-17,7701.75,7796.25,7686.0,7780.5,86
2012-08-20,7827.75,7827.75,7638.75,7670.25,81
2012-08-21,7717.5,7749.0,7481.25,7497.0,53
2012-08-22,7481.25,7575.75,7308.0,7386.75,101
2012-08-23,7386.75,7497.0,7292.25,7371.0,38
2012-08-24,7339.5,7434.0,7276.5,7308.0,45
2012-08-27,7355.25,7355.25,7182.0,7245.0,51
2012-08-28,7197.75,7607.25,7166.25,7560.0,93
2012-08-29,7528.5,7575.75,7276.5,7308.0,79
2012-08-30,7308.0,7371.0,6993.0,7245.0,74
2012-08-31,7386.75,7386.75,7087.5,7087.5,59
2012-09-04,7182.0,7418.25,7119.0,7355.25,123
2012-09-05,7386.75,7512.75,7260.75,7481.25,97
2012-09-06,7560.0,8142.75,7481.25,8064.0,635
2012-09-07,8079.75,8079.75,7733.25,8032.5,128
2012-09-10,8001.0,8001.0,7481.25,7638.75,102
