date,open,high,low,close,volume
2012-01-03,9.5,9.5,9.5,9.5,0
2012-01-04,9.5,9.5,9.5,9.5,0
2012-01-05,9.5,9.5,9.5,9.5,0
2012-01-06,9.5,9.5,9.5,9.5,0
2012-01-09,9.5,9.5,9.5,9.5,0
2012-01-10,9.607500076293945,9.607500076293945,9.607500076293945,9.607500076293945,2000
2012-01-11,9.607500076293945,9.607500076293945,9.607500076293945,9.607500076293945,0
2012-01-12,9.607500076293945,9.607500076293945,9.607500076293945,9.607500076293945,0
2012-01-13,9.607500076293945,9.607500076293945,9.607500076293945,9.607500076293945,0
2012-01-17,9.607500076293945,9.607500076293945,9.607500076293945,9.607500076293945,0
2012-01-18,9.5,9.5,9.425000190734863,9.425000190734863,4000
2012-01-19,9.5,9.5,9.5,9.5,2000
2012-01-20,9.5,9.5,9.5,9.5,0
2012-01-23,9.5,9.5,9.5,9.5,0
2012-01-24,9.5,9.5,9.5,9.5,0
2012-01-25,9.425000190734863,9.425000190734863,9.425000190734863,9.425000190734863,4800
2012-01-26,9.425000190734863,9.425000190734863,9.425000190734863,9.425000190734863,0
2012-01-27,9.425000190734863,9.425000190734863,9.425000190734863,9.425000190734863,0
2012-01-30,9.3774995803833,9.3774995803833,9.375,9.375,1600
2012-01-31,9.375,9.375,9.375,9.375,0
2012-02-01,9.375,9.375,9.375,9.375,0
2012-02-02,9.375,9.375,9.375,9.375,0
2012-02-03,9.375,9.375,9.375,9.375,0
2012-02-06,9.375,9.375,9.375,9.375,400
2012-02-07,9.375,9.4375,9.375,9.4375,4800
2012-02-08,9.4375,9.4375,9.4375,9.4375,0
2012-02-09,9.4375,9.4375,9.4375,9.4375,0
2012-02-10,9.4375,9.4375,9.4375,9.4375,0
2012-02-13,9.4375,9.4375,9.4375,9.4375,0
2012-02-14,9.4375,9.4375,9.4375,9.4375,0
2012-02-15,9.4375,9.4375,9.4375,9.4375,0
2012-02-16,9.4375,9.4375,9.4375,9.4375,0
2012-02-17,9.4375,9.4375,9.4375,9.4375,0
2012-02-21,9.4375,9.4375,9.4375,9.4375,0
2012-02-22,9.4375,9.4375,9.4375,9.4375,0
2012-02-23,9.4375,9.4375,9.4375,9.4375,0
2012-02-24,9.4375,9.4375,9.4375,9.4375,0
2012-02-27,9.4375,9.4375,9.4375,9.4375,0
2012-02-28,9.4375,9.4375,9.4375,9.4375,0
2012-02-29,9.4375,9.4375,9.4375,9.4375,0
2012-03-01,9.5,9.5,9.5,9.5,400
2012-03-02,9.5,9.5,9.5,9.5,0
2012-03-05,9.512499809265137,9.5625,9.512499809265137,9.5625,11200
2012-03-06,9.5625,9.5625,9.5625,9.5625,0
2012-03-07,9.5625,9.5625,9.5625,9.5625,0
2012-03-08,9.5625,9.5625,9.5625,9.5625,0
2012-03-09,9.5625,9.5625,9.5625,9.5625,0
2012-03-12,9.5625,9.5625,9.5625,9.5625,0
2012-03-13,9.5625,9.5625,9.5625,9.5625,0
2012-03-14,9.5625,9.5625,9.5625,9.5625,0
2012-03-15,9.5625,9.5625,9.5625,9.5625,0
2012-03-16,9.5625,9.5625,9.5625,9.5625,0
2012-03-19,9.6875,9.6875,9.6875,9.6875,400
2012-03-20,9.6875,9.6875,9.6875,9.6875,0
2012-03-21,9.6875,9.6875,9.6875,9.6875,0
2012-03-22,9.5,9.5,9.5,9.5,2000
2012-03-23,9.5,9.5,9.5,9.5,0
2012-03-26,9.5,9.5,9.5,9.5,0
2012-03-27,9.5,9.5,9.5,9.5,0
2012-03-28,9.8125,9.8125,9.6875,9.6875,5600
2012-03-29,9.6875,9.6875,9.6875,9.6875,0
2012-03-30,9.6875,9.6875,9.6875,9.6875,4000
2012-04-02,9.6875,9.6875,9.6875,9.6875,0
2012-04-03,9.6875,9.6875,9.6875,9.6875,0
2012-04-04,9.6875,9.6875,9.6875,9.6875,400
2012-04-05,9.75,9.75,9.75,9.75,4000
2012-04-09,9.75,9.75,9.75,9.75,0
2012-04-10,9.774999618530273,9.774999618530273,9.774999618530273,9.774999618530273,38800
2012-04-11,9.774999618530273,9.774999618530273,9.774999618530273,9.774999618530273,0
2012-04-12,9.774999618530273,9.774999618530273,9.774999618530273,9.774999618530273,0
2012-04-13,9.774999618530273,9.774999618530273,9.774999618530273,9.774999618530273,0
2012-04-16,9.774999618530273,9.774999618530273,9.774999618530273,9.774999618530273,0
2012-04-17,9.774999618530273,9.774999618530273,9.774999618530273,9.774999618530273,0
2012-04-18,9.774999618530273,9.774999618530273,9.774999618530273,9.774999618530273,0
2012-04-19,9.774999618530273,9.774999618530273,9.774999618530273,9.774999618530273,0
2012-04-20,9.774999618530273,9.774999618530273,9.774999618530273,9.774999618530273,0
2012-04-23,9.774999618530273,9.774999618530273,9.774999618530273,9.774999618530273,0
2012-04-24,9.774999618530273,9.774999618530273,9.774999618530273,9.774999618530273,0
2012-04-25,9.774999618530273,9.774999618530273,9.774999618530273,9.774999618530273,0
2012-04-26,9.774999618530273,9.774999618530273,9.774999618530273,9.774999618530273,0
2012-04-27,9.774999618530273,9.774999618530273,9.774999618530273,9.774999618530273,0
2012-04-30,9.774999618530273,9.774999618530273,9.774999618530273,9.774999618530273,0
2012-05-01,9.774999618530273,9.774999618530273,9.774999618530273,9.774999618530273,0
2012-05-02,9.8125,9.8125,9.8125,9.8125,2000
2012-05-03,9.8125,9.8125,9.8125,9.8125,0
2012-05-04,9.8125,9.8125,9.8125,9.8125,0
2012-05-07,9.875,9.875,9.875,9.875,800
2012-05-08,9.875,9.875,9.875,9.875,800
2012-05-09,9.875,9.875,9.875,9.875,0
2012-05-10,9.875,9.875,9.875,9.875,0
2012-05-11,9.875,9.875,9.875,9.875,0
2012-05-14,9.875,9.875,9.875,9.875,0
2012-05-15,9.875,9.875,9.875,9.875,0
2012-05-16,9.875,9.875,9.875,9.875,0
2012-05-17,9.875,9.875,9.875,9.875,0
2012-05-18,9.8125,9.8125,9.8125,9.8125,1600
2012-05-21,9.875,9.875,9.875,9.875,4000
2012-05-22,9.875,9.875,9.875,9.875,0
2012-05-23,9.875,9.875,9.875,9.875,0
2012-05-24,9.8125,9.8125,9.8125,9.8125,400
2012-05-25,9.8125,9.8125,9.8125,9.8125,0
2012-05-29,9.8125,9.8125,9.8125,9.8125,0
2012-05-30,9.8125,9.8125,9.8125,9.8125,0
2012-05-31,9.8125,9.8125,9.8125,9.8125,0
2012-06-01,9.8125,9.8125,9.8125,9.8125,0
2012-06-04,9.8125,9.8125,9.8125,9.8125,0
2012-06-05,9.8125,9.8125,9.8125,9.8125,0
2012-06-06,9.8125,9.8125,9.8125,9.8125,0
2012-06-07,9.8125,9.8125,9.574999809265137,9.574999809265137,4400
2012-06-08,9.574999809265137,9.574999809265137,9.574999809265137,9.574999809265137,0
2012-06-11,9.574999809265137,9.574999809265137,9.574999809265137,9.574999809265137,0
2012-06-12,9.75,9.75,9.75,9.75,1600
2012-06-13,9.75,9.75,9.75,9.75,0
2012-06-14,9.802499771118164,9.802499771118164,9.802499771118164,9.802499771118164,800
2012-06-15,9.802499771118164,9.802499771118164,9.802499771118164,9.802499771118164,0
2012-06-18,9.875,9.875,9.875,9.875,1600
2012-06-19,9.875,9.875,9.875,9.875,0
2012-06-20,9.875,9.875,9.875,9.875,0
2012-06-21,9.875,9.875,9.875,9.875,0
2012-06-22,9.875,9.875,9.875,9.875,0
2012-06-25,9.875,9.875,9.875,9.875,0
2012-06-26,9.875,9.875,9.875,9.875,0
2012-06-27,9.875,9.875,9.875,9.875,0
2012-06-28,9.875,9.875,9.875,9.875,0
2012-06-29,9.875,9.875,9.875,9.875,0
2012-07-02,9.875,9.875,9.875,9.875,0
2012-07-03,9.875,9.875,9.875,9.875,0
2012-07-05,9.875,9.875,9.875,9.875,0
2012-07-06,9.875,9.875,9.875,9.875,0
2012-07-09,9.875,9.875,9.875,9.875,0
2012-07-10,9.875,9.875,9.875,9.875,0
2012-07-11,9.875,9.875,9.875,9.875,0
2012-07-12,9.875,9.875,9.875,9.875,0
2012-07-13,9.875,9.875,9.875,9.875,0
2012-07-16,9.875,9.875,9.875,9.875,0
2012-07-17,9.875,9.875,9.875,9.875,0
2012-07-18,9.875,9.875,9.875,9.875,0
2012-07-19,9.712499618530273,9.712499618530273,9.712499618530273,9.712499618530273,4000
2012-07-20,9.712499618530273,9.712499618530273,9.712499618530273,9.712499618530273,0
2012-07-23,9.712499618530273,9.712499618530273,9.712499618530273,9.712499618530273,0
2012-07-24,9.712499618530273,9.712499618530273,9.712499618530273,9.712499618530273,0
2012-07-25,9.712499618530273,9.712499618530273,9.712499618530273,9.712499618530273,0
2012-07-26,9.712499618530273,9.712499618530273,9.712499618530273,9.712499618530273,400
2012-07-27,9.712499618530273,9.712499618530273,9.712499618530273,9.712499618530273,1200
2012-07-30,9.712499618530273,9.712499618530273,9.712499618530273,9.712499618530273,0
2012-07-31,9.875,9.875,9.875,9.875,800
2012-08-01,9.875,9.875,9.875,9.875,0
2012-08-02,9.875,9.875,9.875,9.875,0
2012-08-03,9.875,9.875,9.875,9.875,0
2012-08-06,9.875,9.875,9.875,9.875,0
2012-08-07,9.875,9.875,9.875,9.875,0
2012-08-08,9.875,9.875,9.875,9.875,0
2012-08-09,9.875,9.875,9.875,9.875,0
2012-08-10,9.875,9.875,9.875,9.875,0
2012-08-13,9.875,9.875,9.875,9.875,0
2012-08-14,9.875,9.875,9.875,9.875,0
2012-08-15,9.875,9.875,9.875,9.875,0
2012-08-16,9.875,9.875,9.875,9.875,0
2012-08-17,9.875,9.875,9.875,9.875,0
2012-08-20,9.8125,9.875,9.8125,9.875,2000
2012-08-21,9.875,9.875,9.875,9.875,800
2012-08-22,9.875,9.875,9.875,9.875,400
2012-08-23,9.875,9.875,9.875,9.875,0
2012-08-24,9.875,9.875,9.875,9.875,0
2012-08-27,9.875,9.875,9.875,9.875,0
2012-08-28,9.875,9.875,9.875,9.875,0
2012-08-29,9.875,9.875,9.875,9.875,0
2012-08-30,9.9375,9.9375,9.9375,9.9375,1200
2012-08-31,9.9375,9.9375,9.9375,9.9375,800
2012-09-04,9.9375,9.9375,9.9375,9.9375,0
2012-09-05,9.9375,9.9375,9.9375,9.9375,0
2012-09-06,9.9375,9.9375,9.9375,9.9375,0
2012-09-07,9.9375,9.9375,9.9375,9.9375,0
2012-09-10,9.9375,9.9375,9.9375,9.9375,0
2012-09-11,10.0,10.0,10.0,10.0,800
2012-09-12,9.8125,9.8125,9.8125,9.8125,800
2012-09-13,9.8125,9.8125,9.8125,9.8125,0
2012-09-14,9.8125,9.8125,9.8125,9.8125,0
2012-09-17,9.75,9.75,9.75,9.75,2400
2012-09-18,9.75,9.75,9.75,9.75,0
2012-09-19,9.75,9.75,9.75,9.75,0
2012-09-20,9.75,9.75,9.75,9.75,0
2012-09-21,9.75,9.75,9.75,9.75,0
2012-09-24,9.75,9.75,9.75,9.75,0
2012-09-25,9.75,9.75,9.75,9.75,0
2012-09-26,9.75,9.75,9.75,9.75,0
2012-09-27,9.75,9.75,9.75,9.75,0
2012-09-28,9.75,9.75,9.75,9.75,0
2012-10-01,9.75,9.75,9.75,9.75,0
2012-10-02,9.75,9.75,9.75,9.75,0
2012-10-03,9.75,9.75,9.75,9.75,0
2012-10-04,10.050000190734863,10.050000190734863,10.050000190734863,10.050000190734863,800
2012-10-05,10.050000190734863,10.050000190734863,10.050000190734863,10.050000190734863,0
2012-10-08,10.050000190734863,10.050000190734863,10.050000190734863,10.050000190734863,0
2012-10-09,10.050000190734863,10.050000190734863,10.050000190734863,10.050000190734863,0
2012-10-10,10.125,10.125,10.125,10.125,800
2012-10-11,10.125,10.125,10.125,10.125,0
2012-10-12,10.125,10.125,10.125,10.125,0
2012-10-15,10.125,10.125,10.125,10.125,0
2012-10-16,10.125,10.125,10.125,10.125,0
2012-10-17,10.125,10.125,10.125,10.125,0
2012-10-18,10.125,10.125,10.125,10.125,0
2012-10-19,10.125,10.125,10.125,10.125,0
2012-10-22,10.125,10.125,10.125,10.125,0
2012-10-23,10.125,10.125,10.125,10.125,0
2012-10-24,10.125,10.125,10.125,10.125,0
2012-10-25,10.0625,10.0625,10.0625,10.0625,2400
2012-10-26,10.0625,10.0625,10.0625,10.0625,0
2012-10-31,10.0625,10.0625,10.0625,10.0625,0
2012-11-01,10.0625,10.0625,10.0625,10.0625,0
2012-11-02,10.0625,10.0625,10.0625,10.0625,0
2012-11-05,10.0625,10.0625,10.0625,10.0625,0
2012-11-06,10.0625,10.0625,10.0625,10.0625,0
2012-11-07,10.0625,10.0625,10.0625,10.0625,0
2012-11-08,10.050000190734863,10.050000190734863,10.050000190734863,10.050000190734863,20000
2012-11-09,10.050000190734863,10.050000190734863,10.050000190734863,10.050000190734863,0
2012-11-12,10.050000190734863,10.050000190734863,10.050000190734863,10.050000190734863,0
2012-11-13,10.050000190734863,10.050000190734863,10.050000190734863,10.050000190734863,0
2012-11-14,10.050000190734863,10.050000190734863,10.050000190734863,10.050000190734863,0
2012-11-15,10.050000190734863,10.050000190734863,10.050000190734863,10.050000190734863,0
2012-11-16,10.125,10.125,10.125,10.125,400
2012-11-19,10.125,10.125,10.037500381469727,10.037500381469727,1200
2012-11-20,10.037500381469727,10.037500381469727,10.037500381469727,10.037500381469727,0
2012-11-21,10.0625,10.0625,10.0625,10.0625,2000
2012-11-23,10.0625,10.0625,10.0625,10.0625,0
2012-11-26,10.0625,10.0625,10.0625,10.0625,0
2012-11-27,10.0625,10.0625,10.0625,10.0625,0
2012-11-28,10.0625,10.0625,10.0625,10.0625,0
2012-11-29,10.0625,10.0625,10.0625,10.0625,0
2012-11-30,10.0625,10.0625,10.0625,10.0625,400
2012-12-03,10.0625,10.0625,10.0625,10.0625,0
2012-12-04,10.0625,10.0625,10.0625,10.0625,0
2012-12-05,10.0625,10.0625,10.0625,10.0625,0
2012-12-06,10.0625,10.175000190734863,10.0625,10.175000190734863,1200
2012-12-07,10.175000190734863,10.175000190734863,10.175000190734863,10.175000190734863,0
2012-12-10,10.175000190734863,10.175000190734863,10.175000190734863,10.175000190734863,0
2012-12-11,10.175000190734863,10.175000190734863,10.175000190734863,10.175000190734863,0
2012-12-12,10.375,10.375,10.0,10.0,1600
2012-12-13,9.9375,10.0,9.9375,10.0,10000
2012-12-14,10.0,10.0,10.0,10.0,0
2012-12-17,10.0,10.0,10.0,10.0,0
2012-12-18,10.0,10.0,10.0,10.0,0
2012-12-19,9.9375,9.9375,9.9375,9.9375,1200
2012-12-20,9.9375,9.9375,9.9375,9.9375,0
2012-12-21,9.9375,9.9375,9.875,9.875,5200
2012-12-24,9.875,9.875,9.875,9.875,0
2012-12-26,9.875,9.875,9.875,9.875,0
2012-12-27,9.829999923706055,9.875,9.755000114440918,9.755000114440918,8400
2012-12-28,9.762499809265137,9.850000381469727,9.75,9.850000381469727,39600
2012-12-31,9.875,9.925000190734863,9.875,9.925000190734863,4000
2013-01-02,9.925000190734863,9.925000190734863,9.925000190734863,9.925000190734863,0
2013-01-03,9.899999618530273,9.899999618530273,9.75,9.75,49200
2013-01-04,9.755000114440918,9.755000114440918,9.755000114440918,9.755000114440918,400
2013-01-07,9.75,9.75,9.75,9.75,800
2013-01-08,9.75,9.75,9.75,9.75,0
2013-01-09,9.75,9.75,9.75,9.75,0
2013-01-10,9.75,9.75,9.75,9.75,10000
2013-01-11,9.75,9.75,9.75,9.75,0
2013-01-14,9.75,9.75,9.75,9.75,400
2013-01-15,9.75,9.75,9.75,9.75,0
