date,open,high,low,close,volume
2012-01-03,112.5,114.0,105.0,111.0,232
2012-01-04,111.0,116.5,107.0,113.0,126
2012-01-05,113.0,118.0,113.0,117.5,220
2012-01-06,117.0,117.5,111.0,115.5,132
2012-01-09,110.5,114.5,109.0,113.5,136
2012-01-10,115.0,115.0,108.5,111.5,138
2012-01-11,108.0,112.5,105.5,110.0,188
2012-01-12,107.0,118.0,106.5,116.0,372
2012-01-13,109.5,117.5,108.0,115.0,428
2012-01-17,109.0,138.0,107.5,123.0,846
2012-01-18,121.5,124.5,117.5,122.0,336
2012-01-19,122.5,142.5,120.0,123.5,1372
2012-01-20,115.5,137.5,115.0,132.5,826
2012-01-23,129.5,155.0,128.0,145.5,2006
2012-01-24,146.0,165.0,139.0,159.0,2836
2012-01-25,158.5,174.5,150.0,152.5,2432
2012-01-26,154.0,154.5,130.5,138.0,2120
2012-01-27,138.0,146.0,138.0,142.5,340
2012-01-30,143.5,143.5,139.0,140.5,72
2012-01-31,138.0,142.0,130.0,141.5,724
2012-02-01,142.0,143.5,140.0,143.0,206
2012-02-02,143.5,155.0,141.5,151.5,856
2012-02-03,147.5,153.0,139.0,152.0,408
2012-02-06,142.0,161.5,142.0,156.0,738
2012-02-07,153.5,157.5,146.0,157.5,738
2012-02-08,161.0,162.0,153.5,160.0,496
2012-02-09,157.0,160.0,146.0,152.5,272
2012-02-10,154.0,156.5,143.5,154.0,224
2012-02-13,152.5,154.0,149.0,152.5,54
2012-02-14,150.0,214.0,147.0,186.5,10908
2012-02-15,187.5,187.5,153.5,160.5,3548
2012-02-16,158.0,161.5,151.5,153.0,462
2012-02-17,154.0,159.5,154.0,157.5,468
2012-02-21,161.0,161.0,154.0,157.5,230
2012-02-22,155.0,163.0,153.0,159.0,712
2012-02-23,155.0,167.5,150.5,164.0,898
2012-02-24,166.0,167.0,163.5,166.0,182
2012-02-27,162.0,166.0,155.0,161.5,256
2012-02-28,158.5,160.0,145.0,147.5,892
2012-02-29,146.5,155.5,142.5,146.0,796
2012-03-01,146.0,146.5,135.5,141.0,814
2012-03-02,141.0,147.0,125.0,129.0,1304
2012-03-05,129.0,129.5,118.5,125.0,794
2012-03-06,124.5,131.5,120.5,129.0,262
2012-03-07,125.0,134.5,125.0,134.0,392
2012-03-08,134.0,137.0,130.5,135.5,130
2012-03-09,132.0,139.0,130.0,136.0,306
2012-03-12,133.5,136.0,131.5,134.5,152
2012-03-13,131.5,137.5,129.0,133.5,600
2012-03-14,131.5,136.5,129.0,135.5,318
2012-03-15,132.0,136.0,129.0,132.5,506
2012-03-16,135.0,151.0,133.5,137.5,724
2012-03-19,135.5,146.0,133.0,142.0,318
2012-03-20,140.0,140.0,133.0,135.0,482
2012-03-21,135.0,137.0,131.0,136.0,132
2012-03-22,135.0,135.0,127.5,128.5,164
2012-03-23,127.5,132.0,125.0,128.0,196
2012-03-26,128.5,130.0,120.5,121.0,356
2012-03-27,121.0,126.0,111.5,121.0,76
2012-03-28,119.5,122.0,115.5,119.0,76
2012-03-29,118.5,120.5,110.0,117.5,560
2012-03-30,118.5,119.0,112.5,117.0,236
2012-04-02,111.5,123.0,111.5,122.5,410
2012-04-03,122.5,124.5,114.0,119.5,356
2012-04-04,120.5,133.5,113.5,125.0,960
2012-04-05,121.5,134.0,117.5,125.0,810
2012-04-09,125.0,126.0,122.5,125.0,374
2012-04-10,132.0,139.5,125.0,132.5,518
2012-04-11,132.0,204.0,125.0,199.0,14658
2012-04-12,221.0,286.5,175.0,179.5,58060
2012-04-13,177.5,184.0,156.5,163.5,3936
2012-04-16,159.5,166.5,152.0,162.5,1478
2012-04-17,164.0,178.0,155.5,164.5,2620
2012-04-18,162.5,163.0,150.5,152.5,716
2012-04-19,150.5,155.0,130.5,132.0,1322
2012-04-20,131.5,143.5,131.0,135.5,866
2012-04-23,133.5,145.0,128.5,132.5,1448
2012-04-24,133.5,141.5,130.0,132.0,916
2012-04-25,129.5,176.5,129.5,160.0,13480
2012-04-26,159.0,204.0,146.0,171.5,14102
2012-04-27,168.5,171.0,151.0,152.5,2420
2012-04-30,150.5,151.5,142.5,145.5,1060
2012-05-01,145.5,157.5,145.5,150.0,1040
2012-05-02,151.0,172.0,149.0,155.5,3540
2012-05-03,156.0,162.5,150.5,154.0,448
2012-05-04,155.0,155.0,147.5,148.0,432
2012-05-07,150.5,154.5,148.0,149.5,314
2012-05-08,148.5,148.5,132.5,133.0,1326
2012-05-09,130.5,141.5,130.5,140.5,414
2012-05-10,144.0,144.0,131.0,136.0,300
2012-05-11,137.5,144.5,132.5,136.5,328
2012-05-14,133.0,133.0,127.0,130.5,360
2012-05-15,127.0,131.0,117.0,124.0,512
2012-05-16,121.0,121.0,117.5,118.0,240
2012-05-17,115.0,120.0,112.0,112.0,280
2012-05-18,115.0,115.0,110.0,111.5,300
2012-05-21,109.5,113.0,101.5,107.5,362
2012-05-22,107.5,139.0,107.5,128.5,796
2012-05-23,129.5,129.5,118.5,121.5,362
2012-05-24,126.0,129.0,120.5,126.0,44
2012-05-25,128.0,164.5,128.0,130.0,7196
2012-05-29,130.0,137.5,121.0,126.5,426
2012-05-30,124.5,133.0,124.0,127.5,276
2012-05-31,129.5,129.5,123.5,129.0,132
2012-06-01,124.0,127.0,120.0,121.5,442
2012-06-04,122.5,122.5,112.5,117.0,260
2012-06-05,115.0,125.0,112.5,117.5,216
2012-06-06,118.0,126.0,118.0,125.0,592
2012-06-07,120.0,139.0,120.0,124.5,272
2012-06-08,116.0,126.0,116.0,126.0,90
2012-06-11,124.0,126.5,118.0,125.5,166
2012-06-12,119.0,127.5,119.0,124.5,300
2012-06-13,124.0,140.0,120.5,126.5,302
2012-06-14,124.0,131.5,123.5,125.0,146
2012-06-15,124.5,125.0,124.5,125.0,20
2012-06-18,125.5,138.5,124.5,137.5,500
2012-06-19,137.5,153.5,128.0,130.0,4050
2012-06-20,133.0,136.5,128.5,129.5,428
2012-06-21,135.0,143.0,126.5,130.0,708
2012-06-22,127.0,132.5,126.0,132.5,182
2012-06-25,131.0,138.0,131.0,133.0,26
2012-06-26,136.0,137.5,130.0,130.5,202
2012-06-27,129.0,129.0,129.0,129.0,2
2012-06-28,127.0,130.5,125.5,130.5,42
2012-06-29,134.0,134.0,132.0,133.5,470
2012-07-02,132.5,132.5,130.5,132.0,62
2012-07-03,130.5,130.5,128.5,128.5,88
2012-07-05,128.5,133.5,128.0,133.0,144
2012-07-06,128.5,132.0,125.5,125.5,26
2012-07-09,125.5,126.0,125.5,126.0,6
2012-07-10,128.5,128.5,125.5,125.5,28
2012-07-11,127.5,136.0,123.5,127.0,218
2012-07-12,130.0,136.5,126.5,127.0,418
2012-07-13,130.5,130.5,121.5,123.5,36
2012-07-16,130.0,130.0,121.0,121.0,28
2012-07-17,129.0,129.0,121.5,124.0,52
2012-07-18,125.0,125.0,122.0,124.0,96
2012-07-19,125.0,132.0,122.5,126.5,184
2012-07-20,122.5,122.5,122.5,122.5,2
2012-07-23,121.5,121.5,118.0,120.0,38
2012-07-24,120.5,133.5,110.0,116.0,458
2012-07-25,112.5,121.5,112.5,120.0,100
2012-07-26,120.0,120.0,116.0,117.5,86
2012-07-27,116.5,117.5,115.0,115.0,210
2012-07-30,119.0,119.0,110.0,110.0,238
2012-07-31,114.5,119.0,108.0,110.5,76
2012-08-01,110.0,110.0,110.0,110.0,58
2012-08-02,117.0,117.0,92.5,103.0,704
2012-08-03,103.5,107.5,103.5,104.0,332
2012-08-06,105.0,105.0,105.0,105.0,2
2012-08-07,105.0,105.0,105.0,105.0,26
2012-08-08,109.5,119.0,109.5,113.0,192
2012-08-09,119.0,122.5,113.0,118.5,414
2012-08-10,121.0,121.5,121.0,121.5,6
2012-08-13,119.0,119.0,111.5,113.0,34
2012-08-14,116.0,117.0,111.0,111.0,60
2012-08-15,111.5,111.5,111.5,111.5,2
2012-08-16,114.0,116.5,114.0,114.5,38
2012-08-17,113.0,114.5,111.5,114.5,98
2012-08-20,114.5,114.5,111.0,112.0,352
2012-08-21,112.5,112.5,111.5,111.5,158
2012-08-22,111.0,112.0,111.0,112.0,34
2012-08-23,112.5,121.0,110.5,112.0,372
2012-08-24,110.5,115.5,110.5,113.5,70
2012-08-27,113.5,113.5,113.5,113.5,0
2012-08-28,114.5,114.5,111.5,114.5,48
2012-08-29,111.0,114.0,111.0,114.0,406
2012-08-30,111.0,113.5,110.5,113.5,24
2012-08-31,110.5,110.5,110.5,110.5,16
2012-09-04,113.5,113.5,110.0,110.0,206
2012-09-05,113.5,114.5,110.0,110.0,236
2012-09-06,110.0,110.0,110.0,110.0,0
2012-09-07,110.0,111.0,109.0,109.0,212
2012-09-10,107.0,127.5,107.0,111.0,2308
2012-09-11,114.5,114.5,111.0,111.0,158
2012-09-12,111.0,113.0,110.5,113.0,180
2012-09-13,115.0,115.0,110.5,111.0,248
2012-09-14,110.5,122.5,110.5,116.0,854
2012-09-17,116.0,120.0,116.0,118.5,486
2012-09-18,120.0,120.5,117.5,119.0,158
2012-09-19,118.5,132.5,115.0,116.0,2402
2012-09-20,115.0,116.0,112.5,115.0,300
2012-09-21,119.5,119.5,114.5,118.0,90
2012-09-24,115.0,118.0,112.5,118.0,112
2012-09-25,118.0,120.0,112.5,116.5,214
2012-09-26,113.0,114.0,110.5,110.5,366
