date,open,high,low,close,volume
2022-01-05,487.5,497.5,487.5,496.8500061035156,144
2022-01-06,496.5,496.5,496.5,496.5,8
2022-01-07,497.5,497.5,496.25,496.25,4
2022-01-10,496.25,496.25,496.25,496.25,0
2022-01-11,496.25,496.25,496.25,496.25,0
2022-01-12,497.5,497.5,495.0,495.5,2714
2022-01-13,495.5,495.5,495.5,495.5,212
2022-01-14,495.0,495.5,495.0,495.5,526
2022-01-18,495.0,495.5,495.0,495.5,40
2022-01-19,499.5,499.5,494.5,494.5,1148
2022-01-20,497.5,497.5,494.5,494.5,948
2022-01-21,494.75,495.0,494.5,494.5,264
2022-01-24,495.0,495.0,494.0,494.0,12106
2022-01-25,494.0,494.0,494.0,494.0,0
2022-01-26,500.5,500.5,500.5,500.5,22
2022-01-27,495.0,496.0,493.5,493.5,1322
2022-01-28,494.5,496.75,494.0,494.5,772
2022-01-31,496.0,496.0,496.0,496.0,6
2022-02-01,518.75,518.75,518.75,518.75,186
2022-02-02,497.5,498.5,496.0,497.0,324
2022-02-03,497.5,497.5,497.0,497.5,228
2022-02-04,497.5,497.5,497.5,497.5,0
2022-02-07,497.0,497.0,496.5,496.5,20
2022-02-08,495.5,497.0,495.5,497.0,308
2022-02-09,497.5,497.5,495.5,495.5,568
2022-02-10,495.5,495.5,495.5,495.5,0
2022-02-11,495.5,495.5,495.5,495.5,0
2022-02-14,495.5,495.5,495.5,495.5,0
2022-02-15,495.5,495.5,495.5,495.5,0
2022-02-16,496.5,496.5,496.5,496.5,54
2022-02-17,496.5,496.5,496.5,496.5,0
2022-02-18,496.5,496.5,496.5,496.5,0
2022-02-22,496.5,496.5,496.5,496.5,0
2022-02-23,496.5,496.5,496.5,496.5,0
2022-02-24,497.0,497.25,497.0,497.0,306
2022-02-25,497.0,497.0,497.0,497.0,0
2022-02-28,497.0,497.0,496.5,496.5,542
2022-03-01,497.0,497.0,497.0,497.0,2032
2022-03-02,497.0,497.0,497.0,497.0,42
2022-03-03,497.0,497.5,497.0,497.5,46
2022-03-04,497.5,497.5,497.5,497.5,0
2022-03-07,497.5,497.5,497.5,497.5,0
2022-03-08,497.5,497.5,497.5,497.5,0
2022-03-09,497.5,497.5,497.5,497.5,0
2022-03-10,496.5,497.25,496.5,497.25,176
2022-03-11,497.5,497.5,497.25,497.25,362
2022-03-14,498.0,498.5,498.0,498.5,38
2022-03-15,498.5,498.5,498.5,498.5,0
2022-03-16,497.0,497.5,497.0,497.0,158
2022-03-17,497.0,497.0,497.0,497.0,0
2022-03-18,497.0,497.0,497.0,497.0,0
2022-03-21,497.0,497.0,497.0,497.0,0
2022-03-22,497.0,497.0,497.0,497.0,0
2022-03-23,498.0,498.0,498.0,498.0,2000
2022-03-24,498.25,498.5,498.25,498.5,2000
2022-03-25,498.5,498.5,498.5,498.5,500
2022-03-28,498.5,498.5,498.5,498.5,36
2022-03-29,498.5,498.5,498.5,498.5,2
2022-03-30,498.5,498.5,498.5,498.5,0
2022-03-31,499.5,500.0,499.0,499.5,2448
2022-04-01,499.25,499.5,499.0,499.0,1310
2022-04-04,500.0,500.0,500.0,500.0,56
2022-04-05,499.0,500.5,499.0,499.5,5172
2022-04-06,499.0,500.0,499.0,500.0,2128
2022-04-07,500.0,500.0,500.0,500.0,238
2022-04-08,499.5,500.5,499.5,500.5,13746
2022-04-11,500.5,500.5,499.5,500.0,992
2022-04-12,500.0,500.0,500.0,500.0,466
2022-04-13,500.0,500.0,500.0,500.0,14
2022-04-14,501.0,501.0,501.0,501.0,18
2022-04-18,501.0,501.0,501.0,501.0,0
2022-04-19,501.0,501.0,501.0,501.0,0
2022-04-20,501.5,501.5,501.5,501.5,306
2022-04-21,501.5,501.5,501.5,501.5,248
2022-04-22,501.0,501.0,501.0,501.0,4
2022-04-25,501.5,501.5,501.5,501.5,3412
2022-04-26,501.5,501.5,501.5,501.5,2572
2022-04-27,501.5,501.5,501.5,501.5,1800
2022-04-28,501.5,501.5,501.5,501.5,46
2022-04-29,501.5,501.5,501.0,501.0,212
2022-05-02,501.0,501.0,501.0,501.0,80
